"genotype","env","block","rep","yield","brix","fruit_wt","maturity"
"TOM-047","SITE-1","SITE-1-B2",2,75.78,4.38,67.5,112.7
"TOM-048","SITE-1","SITE-1-B2",2,75.24,4.19,79.8,107.9
"TOM-049","SITE-1","SITE-1-B2",2,66.38,5.05,69.3,104.8
"TOM-050","SITE-1","SITE-1-B2",2,74.07,4.76,82.7,115.9
"TOM-051","SITE-1","SITE-1-B2",2,88.5,3.7,69.1,108.7
"TOM-052","SITE-1","SITE-1-B2",2,84.75,4.84,76.9,107.7
"TOM-053","SITE-1","SITE-1-B2",2,92.89,3.51,54.9,104.9
"TOM-054","SITE-1","SITE-1-B2",2,76.91,4.11,86.9,107.3
"TOM-055","SITE-1","SITE-1-B2",2,82.07,3.61,74.5,107.9
"TOM-056","SITE-1","SITE-1-B2",2,68.31,3.06,73,108.2
"TOM-057","SITE-1","SITE-1-B2",2,78,3.8,66.8,116.2
"TOM-058","SITE-1","SITE-1-B2",2,76.33,5.78,64.4,114.1
"TOM-059","SITE-1","SITE-1-B2",2,55.05,4.67,66.4,110.9
"TOM-060","SITE-1","SITE-1-B2",2,92.76,4.06,72.7,108.6
"TOM-001","SITE-1","SITE-1-B3",3,87.19,4.27,62.1,113.8
"TOM-002","SITE-1","SITE-1-B3",3,68.92,3.78,63.4,106.7
"TOM-003","SITE-1","SITE-1-B3",3,67.89,4.53,70.7,113.3
"TOM-004","SITE-1","SITE-1-B3",3,94.49,3.85,63.3,112.8
"TOM-005","SITE-1","SITE-1-B3",3,78,3.15,78.7,108.2
"TOM-006","SITE-1","SITE-1-B3",3,63.11,4.43,61.1,106.6
"TOM-007","SITE-1","SITE-1-B3",3,82.64,3.96,75.3,114.3
"TOM-008","SITE-1","SITE-1-B3",3,74.76,4.42,73.2,109.3
"TOM-009","SITE-1","SITE-1-B3",3,84.7,4.54,70.2,109.7
"TOM-010","SITE-1","SITE-1-B3",3,61.55,4.17,81.8,105.4
"TOM-011","SITE-1","SITE-1-B3",3,86.83,2.31,86.3,110.4
"TOM-012","SITE-1","SITE-1-B3",3,78.54,4.36,71.1,109.1
"TOM-013","SITE-1","SITE-1-B3",3,49.23,4.91,76,110
"TOM-014","SITE-1","SITE-1-B3",3,58,3.78,82.1,103.2
"TOM-015","SITE-1","SITE-1-B3",3,75.6,3.94,66.3,103.9
"TOM-016","SITE-1","SITE-1-B3",3,85.13,3.9,68.9,115.2
"TOM-017","SITE-1","SITE-1-B3",3,51.17,4.96,77.4,110.9
"TOM-018","SITE-1","SITE-1-B3",3,45.63,3.92,76.6,112.7
"TOM-019","SITE-1","SITE-1-B3",3,40.89,4.42,68.1,115.8
"TOM-020","SITE-1","SITE-1-B3",3,94.52,3.11,71.7,109.7
"TOM-021","SITE-1","SITE-1-B3",3,65.1,4.3,75,102.8
"TOM-022","SITE-1","SITE-1-B3",3,56.24,4.11,66.3,108.8
"TOM-023","SITE-1","SITE-1-B3",3,85.84,3.9,63.8,114
"TOM-024","SITE-1","SITE-1-B3",3,79.77,3.74,77.5,119.5
"TOM-025","SITE-1","SITE-1-B3",3,81.49,3.26,72,104.1
"TOM-026","SITE-1","SITE-1-B3",3,63.76,4.42,81.5,107.2
"TOM-027","SITE-1","SITE-1-B3",3,74.97,4.56,78.7,103.8
"TOM-028","SITE-1","SITE-1-B3",3,69.41,3.97,68.2,105.7
"TOM-029","SITE-1","SITE-1-B3",3,74.84,4.07,75.7,108.5
"TOM-030","SITE-1","SITE-1-B3",3,52.15,4.18,72.1,107.2
"TOM-031","SITE-1","SITE-1-B3",3,66.81,4.28,80.7,109.6
"TOM-032","SITE-1","SITE-1-B3",3,76.03,3.12,62.3,114.7
"TOM-033","SITE-1","SITE-1-B3",3,86.63,3.97,85.5,109.1
"TOM-034","SITE-1","SITE-1-B3",3,72.6,5.07,68.9,110
"TOM-035","SITE-1","SITE-1-B3",3,64.98,3.61,73.9,110.1
"TOM-036","SITE-1","SITE-1-B3",3,66.4,3.87,60.6,113.7
"TOM-037","SITE-1","SITE-1-B3",3,66.98,4.36,78.5,107.4
"TOM-038","SITE-1","SITE-1-B3",3,52.69,3.77,67,113.4
"TOM-039","SITE-1","SITE-1-B3",3,55.23,4.97,69.6,111.4
"TOM-040","SITE-1","SITE-1-B3",3,62.49,4.36,73.4,106.8
"TOM-041","SITE-1","SITE-1-B3",3,64.58,3.73,66.6,110.1
"TOM-042","SITE-1","SITE-1-B3",3,75.77,4.53,61.3,113.7
"TOM-043","SITE-1","SITE-1-B3",3,78.02,4.14,75.4,107.7
"TOM-044","SITE-1","SITE-1-B3",3,68.65,5.86,63.2,110.5
"TOM-045","SITE-1","SITE-1-B3",3,49.07,3.44,72,113.4
"TOM-046","SITE-1","SITE-1-B3",3,74.29,4.15,89.2,110.1
"TOM-047","SITE-1","SITE-1-B3",3,58.06,4.4,78.2,109.3
"TOM-048","SITE-1","SITE-1-B3",3,95.03,4.83,75.8,109.7
"TOM-049","SITE-1","SITE-1-B3",3,70.51,3.99,68.2,109.8
"TOM-050","SITE-1","SITE-1-B3",3,77.22,3.79,76.7,114.4
"TOM-051","SITE-1","SITE-1-B3",3,70.09,4.33,76.6,113.9
"TOM-052","SITE-1","SITE-1-B3",3,66.53,3.94,76.5,120.1
"TOM-053","SITE-1","SITE-1-B3",3,86.25,3.6,71.5,102.1
"TOM-054","SITE-1","SITE-1-B3",3,77.6,3.83,87,107.3
"TOM-055","SITE-1","SITE-1-B3",3,79.24,3.98,85.8,116.6
"TOM-056","SITE-1","SITE-1-B3",3,58.92,3.93,77.2,103.5
"TOM-057","SITE-1","SITE-1-B3",3,81.21,3.63,54.5,116.8
"TOM-058","SITE-1","SITE-1-B3",3,81.57,5.85,81.2,112.7
"TOM-059","SITE-1","SITE-1-B3",3,51.01,5.03,82.3,109.4
"TOM-060","SITE-1","SITE-1-B3",3,81.67,4.39,79.5,111.3
"TOM-001","SITE-2","SITE-2-B1",1,112.54,5.57,50.3,116.6
"TOM-002","SITE-2","SITE-2-B1",1,78.08,6.3,51.5,114.2
"TOM-003","SITE-2","SITE-2-B1",1,107.26,5.38,53.1,115.5
"TOM-004","SITE-2","SITE-2-B1",1,84.17,7.04,55.1,114.2
"TOM-005","SITE-2","SITE-2-B1",1,102.97,5.3,58.8,110.4
"TOM-006","SITE-2","SITE-2-B1",1,90.72,6.68,61.7,110.1
"TOM-007","SITE-2","SITE-2-B1",1,132.89,5.58,64,120.9
"TOM-008","SITE-2","SITE-2-B1",1,76.67,6.98,45.5,119.6
"TOM-009","SITE-2","SITE-2-B1",1,108.96,6.53,71.6,111.7
"TOM-010","SITE-2","SITE-2-B1",1,82.09,6.45,68.9,108.3
"TOM-011","SITE-2","SITE-2-B1",1,86.96,5.17,72.1,113.1
"TOM-012","SITE-2","SITE-2-B1",1,90.94,5.55,66.9,114.6
"TOM-013","SITE-2","SITE-2-B1",1,105.13,7.47,60.4,120.6
"TOM-014","SITE-2","SITE-2-B1",1,101.43,5.33,64,111.1
"TOM-015","SITE-2","SITE-2-B1",1,96.05,6.23,67.5,113.8
"TOM-016","SITE-2","SITE-2-B1",1,108.62,6.42,56,114.9
"TOM-017","SITE-2","SITE-2-B1",1,100.05,6.74,67.7,117.6
"TOM-018","SITE-2","SITE-2-B1",1,72.34,7.1,70.7,121.7
"TOM-019","SITE-2","SITE-2-B1",1,82.05,7,64,121.2
"TOM-020","SITE-2","SITE-2-B1",1,108.37,5.05,71.4,116.1
"TOM-021","SITE-2","SITE-2-B1",1,87.4,6.71,64,112.2
"TOM-022","SITE-2","SITE-2-B1",1,82.19,7.32,45.9,119.3
"TOM-023","SITE-2","SITE-2-B1",1,109.41,6.26,55.6,116.9
"TOM-024","SITE-2","SITE-2-B1",1,103.52,6.41,66,126.6
"TOM-025","SITE-2","SITE-2-B1",1,99.04,5.57,63.9,104.5
"TOM-026","SITE-2","SITE-2-B1",1,92.93,6.03,66.7,113.1
"TOM-027","SITE-2","SITE-2-B1",1,88.92,6.56,50.2,111.6
"TOM-028","SITE-2","SITE-2-B1",1,79.95,6.52,44.1,111.8
"TOM-029","SITE-2","SITE-2-B1",1,78.25,6.25,67.4,110
"TOM-030","SITE-2","SITE-2-B1",1,92.77,5.92,54.2,113.5
"TOM-031","SITE-2","SITE-2-B1",1,101.37,6.52,70.4,108.3
"TOM-032","SITE-2","SITE-2-B1",1,103.78,6.37,53.3,122.3
"TOM-033","SITE-2","SITE-2-B1",1,129.27,6.71,75.1,114.8
"TOM-034","SITE-2","SITE-2-B1",1,80.8,7.43,56.5,108.1
"TOM-035","SITE-2","SITE-2-B1",1,94.05,5.98,57.5,114.8
"TOM-036","SITE-2","SITE-2-B1",1,87.69,5.94,51.6,115.1
"TOM-037","SITE-2","SITE-2-B1",1,82.28,5.98,55.6,109.8
"TOM-038","SITE-2","SITE-2-B1",1,87.74,5.63,51,123
"TOM-039","SITE-2","SITE-2-B1",1,88.07,7.02,50.1,116.8
"TOM-040","SITE-2","SITE-2-B1",1,106.07,6.77,75.6,112.2
"TOM-041","SITE-2","SITE-2-B1",1,84.61,6.98,69.6,120.7
"TOM-042","SITE-2","SITE-2-B1",1,81.91,6.41,48.2,112.6
"TOM-043","SITE-2","SITE-2-B1",1,94.56,5.72,79.4,113
"TOM-044","SITE-2","SITE-2-B1",1,88.29,7.29,66.6,115.2
"TOM-045","SITE-2","SITE-2-B1",1,63.93,6.2,56.7,114
"TOM-046","SITE-2","SITE-2-B1",1,91.81,6.9,79.7,116.7
"TOM-047","SITE-2","SITE-2-B1",1,72.96,6.49,41.2,115.7
"TOM-048","SITE-2","SITE-2-B1",1,104.28,6.38,72.2,110.5
"TOM-049","SITE-2","SITE-2-B1",1,87.85,6.26,58.8,110.1
"TOM-050","SITE-2","SITE-2-B1",1,94.59,5.87,73.1,118.1
"TOM-051","SITE-2","SITE-2-B1",1,95.55,5.79,59.1,110.3
"TOM-052","SITE-2","SITE-2-B1",1,88.49,6.18,72,120.9
"TOM-053","SITE-2","SITE-2-B1",1,101.63,5.81,46,110.2
"TOM-054","SITE-2","SITE-2-B1",1,76.74,5.26,73,112.9
"TOM-055","SITE-2","SITE-2-B1",1,125.11,6,78,112.4
"TOM-056","SITE-2","SITE-2-B1",1,95.23,6.11,69.9,118.9
"TOM-057","SITE-2","SITE-2-B1",1,109.58,5.46,49.8,120.1
"TOM-058","SITE-2","SITE-2-B1",1,100.84,7.48,70.2,114.5
"TOM-059","SITE-2","SITE-2-B1",1,85.08,6.5,58.1,116.1
"TOM-060","SITE-2","SITE-2-B1",1,90.71,5.98,58.8,108.1
"TOM-001","SITE-2","SITE-2-B2",2,105.34,5.64,55.6,113.6
"TOM-002","SITE-2","SITE-2-B2",2,99.99,5.43,63.1,112.9
"TOM-003","SITE-2","SITE-2-B2",2,94.88,6.54,61.2,116.4
"TOM-004","SITE-2","SITE-2-B2",2,108.67,6.87,64,122.2
"TOM-005","SITE-2","SITE-2-B2",2,84.64,5.63,68.5,110.6
"TOM-006","SITE-2","SITE-2-B2",2,95.94,6.63,61.9,108.6
"TOM-007","SITE-2","SITE-2-B2",2,90.3,6.15,60.7,122.8
"TOM-008","SITE-2","SITE-2-B2",2,94.92,6.24,46.4,120.1
"TOM-009","SITE-2","SITE-2-B2",2,103.94,7.11,65,108
"TOM-010","SITE-2","SITE-2-B2",2,89.54,6.51,70.6,114.6
"TOM-011","SITE-2","SITE-2-B2",2,84.02,5.39,67.1,113.3
"TOM-012","SITE-2","SITE-2-B2",2,120.21,6.24,71.6,119.2
"TOM-013","SITE-2","SITE-2-B2",2,91.17,6.31,55.4,122.2
"TOM-014","SITE-2","SITE-2-B2",2,89.97,6.16,66.6,112.3
"TOM-015","SITE-2","SITE-2-B2",2,81.79,6.1,73,114.2
"TOM-016","SITE-2","SITE-2-B2",2,105.4,5.94,65.7,122.7
"TOM-017","SITE-2","SITE-2-B2",2,92.97,6.88,61.3,118.2
"TOM-018","SITE-2","SITE-2-B2",2,100.4,7.2,69.6,121.3
"TOM-019","SITE-2","SITE-2-B2",2,55.14,5.97,59.9,123.6
"TOM-020","SITE-2","SITE-2-B2",2,108.07,5.29,76.2,114.6
"TOM-021","SITE-2","SITE-2-B2",2,86.3,6.68,72.5,107.4
"TOM-022","SITE-2","SITE-2-B2",2,85.49,6.3,61.4,116.2
"TOM-023","SITE-2","SITE-2-B2",2,81.4,6.32,68.6,117.9
"TOM-024","SITE-2","SITE-2-B2",2,113.11,5.57,76,123.4
"TOM-025","SITE-2","SITE-2-B2",2,97.76,4.74,65.1,109
"TOM-026","SITE-2","SITE-2-B2",2,102.74,6.19,69.5,111.9
"TOM-027","SITE-2","SITE-2-B2",2,89.42,6.1,60.4,111.7
"TOM-028","SITE-2","SITE-2-B2",2,86.24,6.62,58,112.3
"TOM-029","SITE-2","SITE-2-B2",2,118.14,6.28,70.7,115
"TOM-030","SITE-2","SITE-2-B2",2,94.73,6.18,50.9,120.7
"TOM-031","SITE-2","SITE-2-B2",2,103.36,6.7,71.1,115
"TOM-032","SITE-2","SITE-2-B2",2,90.68,6.4,55.3,122.2
"TOM-033","SITE-2","SITE-2-B2",2,107.13,5.61,64.6,116.6
"TOM-034","SITE-2","SITE-2-B2",2,76.57,7.66,60.1,115.3
"TOM-035","SITE-2","SITE-2-B2",2,91.14,5.97,57.3,115.7
"TOM-036","SITE-2","SITE-2-B2",2,67.11,5.77,60.4,120
"TOM-037","SITE-2","SITE-2-B2",2,82.39,6.31,60.4,114.3
"TOM-038","SITE-2","SITE-2-B2",2,73.75,6.05,55.3,121.2
"TOM-039","SITE-2","SITE-2-B2",2,83.77,6.6,58.5,118.3
"TOM-040","SITE-2","SITE-2-B2",2,100.71,6.4,64.2,113.3
"TOM-041","SITE-2","SITE-2-B2",2,109.24,6.73,75.5,122.1
"TOM-042","SITE-2","SITE-2-B2",2,94.82,6.71,51,112.9
"TOM-043","SITE-2","SITE-2-B2",2,106.5,5.08,76.8,109.2
"TOM-044","SITE-2","SITE-2-B2",2,81.46,6.19,71.2,110.1
"TOM-045","SITE-2","SITE-2-B2",2,79.74,5.39,71.5,113.8
"TOM-046","SITE-2","SITE-2-B2",2,117.83,6.22,81.1,114.7
"TOM-047","SITE-2","SITE-2-B2",2,83.77,5.55,50.4,116
"TOM-048","SITE-2","SITE-2-B2",2,113.8,6.04,69.1,120.2
"TOM-049","SITE-2","SITE-2-B2",2,92.17,6.53,66.2,113.8
"TOM-050","SITE-2","SITE-2-B2",2,102.3,5.87,76.3,122.9
"TOM-051","SITE-2","SITE-2-B2",2,96.49,6.27,68.7,115.5
"TOM-052","SITE-2","SITE-2-B2",2,91.55,6.1,67.5,121.6
"TOM-053","SITE-2","SITE-2-B2",2,102.32,6.55,55.4,111.5
"TOM-054","SITE-2","SITE-2-B2",2,107.53,6.56,78.1,113.6
"TOM-055","SITE-2","SITE-2-B2",2,92.42,5.17,77.3,108.2
"TOM-056","SITE-2","SITE-2-B2",2,95.95,6.07,68,106.8
"TOM-057","SITE-2","SITE-2-B2",2,105.44,5.98,53,122.4
"TOM-058","SITE-2","SITE-2-B2",2,87.63,6.76,64.8,124
"TOM-059","SITE-2","SITE-2-B2",2,74.17,4.87,50.4,119.4
"TOM-060","SITE-2","SITE-2-B2",2,106.52,5.78,74,107.6
"TOM-001","SITE-2","SITE-2-B3",3,111.94,6.21,58,112.8
"TOM-002","SITE-2","SITE-2-B3",3,103.95,6.98,56.1,116.4
"TOM-003","SITE-2","SITE-2-B3",3,111.77,6.12,66.8,118.3
"TOM-004","SITE-2","SITE-2-B3",3,102.84,6.69,59,115.1
"TOM-005","SITE-2","SITE-2-B3",3,93.58,6.16,64.4,112
"TOM-006","SITE-2","SITE-2-B3",3,110.35,6.63,59.5,110.6
"TOM-007","SITE-2","SITE-2-B3",3,103.92,6.41,65.1,115.1
"TOM-008","SITE-2","SITE-2-B3",3,90.64,6.57,55.8,117.8
"TOM-009","SITE-2","SITE-2-B3",3,124.6,6.09,68.5,113.8
"TOM-010","SITE-2","SITE-2-B3",3,109.66,6.1,71.2,107.1
"TOM-011","SITE-2","SITE-2-B3",3,101.28,5.45,69.3,116.5
"TOM-012","SITE-2","SITE-2-B3",3,117.08,6.05,59.8,117.5
"TOM-013","SITE-2","SITE-2-B3",3,61.28,7.13,60.8,116.1
"TOM-014","SITE-2","SITE-2-B3",3,86.36,6.23,81.1,109.9
"TOM-015","SITE-2","SITE-2-B3",3,82.56,5.98,72.1,112.2
"TOM-016","SITE-2","SITE-2-B3",3,81.36,7.26,57.6,121
"TOM-017","SITE-2","SITE-2-B3",3,103.59,6.61,70.7,118.3
"TOM-018","SITE-2","SITE-2-B3",3,73.78,7.46,73.9,118.4
"TOM-019","SITE-2","SITE-2-B3",3,67.27,6.37,55.9,120.3
"TOM-020","SITE-2","SITE-2-B3",3,105.47,4.91,55.5,114.9
"TOM-021","SITE-2","SITE-2-B3",3,93.49,6.94,68.2,107.9
"TOM-022","SITE-2","SITE-2-B3",3,74,7.84,49,117.6
"TOM-023","SITE-2","SITE-2-B3",3,99.78,6.81,56.7,117.9
"TOM-024","SITE-2","SITE-2-B3",3,93.96,6.08,63.8,127.6
"TOM-025","SITE-2","SITE-2-B3",3,109.76,5.44,77.2,104.6
"TOM-026","SITE-2","SITE-2-B3",3,98.35,6.67,85.5,114.7
"TOM-027","SITE-2","SITE-2-B3",3,102.33,6.67,55.1,113
"TOM-028","SITE-2","SITE-2-B3",3,76.82,7.12,59.2,109.4
"TOM-029","SITE-2","SITE-2-B3",3,96.74,6.58,63.3,117
"TOM-030","SITE-2","SITE-2-B3",3,71.28,5.93,63.2,114.1
"TOM-031","SITE-2","SITE-2-B3",3,103.87,6.56,60.9,102.8
"TOM-032","SITE-2","SITE-2-B3",3,105.07,6.41,61.7,121.7
"TOM-033","SITE-2","SITE-2-B3",3,100.05,5.54,58.4,111.9
"TOM-034","SITE-2","SITE-2-B3",3,77.93,7.21,53.2,112.7
"TOM-035","SITE-2","SITE-2-B3",3,99.52,5.94,69.2,113.2
"TOM-036","SITE-2","SITE-2-B3",3,82.99,6.77,59.6,111
"TOM-037","SITE-2","SITE-2-B3",3,92.7,6.82,67.6,114.6
"TOM-038","SITE-2","SITE-2-B3",3,88.96,5.39,61.4,119.1
"TOM-039","SITE-2","SITE-2-B3",3,89.7,5.99,57.5,116.5
"TOM-040","SITE-2","SITE-2-B3",3,95.29,6.97,70.6,105.6
"TOM-041","SITE-2","SITE-2-B3",3,104.19,6.29,68.8,111.7
"TOM-042","SITE-2","SITE-2-B3",3,94.59,6.78,56.7,112.9
"TOM-043","SITE-2","SITE-2-B3",3,106.96,5.07,74.5,113.1
"TOM-044","SITE-2","SITE-2-B3",3,89.51,7,54.1,113.5
"TOM-045","SITE-2","SITE-2-B3",3,82.25,6.28,78.9,118.2
"TOM-046","SITE-2","SITE-2-B3",3,110.05,6.63,73.6,117.9
"TOM-047","SITE-2","SITE-2-B3",3,83.1,6.51,54.3,120.4
"TOM-048","SITE-2","SITE-2-B3",3,123.47,5.87,69.6,113.3
"TOM-049","SITE-2","SITE-2-B3",3,108.01,6.27,65.1,112.9
"TOM-050","SITE-2","SITE-2-B3",3,105.09,6.71,75.8,121.3
"TOM-051","SITE-2","SITE-2-B3",3,96.01,6.35,72.5,107.7
"TOM-052","SITE-2","SITE-2-B3",3,98.39,6.24,69.1,115.5
