Env,Year,Field_Location,Experiment,Replicate,Block,Plot,Range,Pass,Hybrid,Hybrid_Parent1,Hybrid_Parent2,Plant_Height_cm,Ear_Height_cm,Yield_Mg_ha,Grain_Moisture
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,66,8,6,PHN11_PHW65_0071/PHT69,PHN11_PHW65_0071,PHT69,226,112,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,67,8,7,PHN11_PHW65_0205/PHT69,PHN11_PHW65_0205,PHT69,260,116,11.9241105741468,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,68,8,8,PHN11_PHW65_0470/PHT69,PHN11_PHW65_0470,PHT69,261,108,11.5082624939603,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,69,8,9,PHN11/PHT69,PHN11,PHT69,250,126,11.1947782030993,19.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,70,8,10,PHN11_PHW65_0227/PHT69,PHN11_PHW65_0227,PHT69,241,126,11.2145731570923,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,71,9,10,PHN11_PHW65_0248/PHT69,PHN11_PHW65_0248,PHT69,247,117,13.3595143197208,19.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,72,9,9,PHN11_PHW65_0070/PHT69,PHN11_PHW65_0070,PHT69,222,104,11.5226658262432,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,73,9,8,PHN11_PHW65_0076/PHT69,PHN11_PHW65_0076,PHT69,238,99,9.04660206744476,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,74,9,7,PHN11_PHW65_0316/PHT69,PHN11_PHW65_0316,PHT69,235,115,10.4358689358134,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,75,9,6,PHG39/PHN82,PHG39,PHN82,247,113,9.34691539669956,21.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,76,9,5,PHN11_PHW65_0223/PHT69,PHN11_PHW65_0223,PHT69,236,97,12.4772909616071,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,77,9,4,PHN11_PHW65_0118/PHT69,PHN11_PHW65_0118,PHT69,243,101,10.0438210143189,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,78,9,3,PHN11_PHW65_0138/PHT69,PHN11_PHW65_0138,PHT69,244,98,8.54356376188866,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,79,9,2,PHN11_PHW65_0418/PHT69,PHN11_PHW65_0418,PHT69,227,92,13.9349544025273,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,80,9,1,PHN11_PHW65_0266/PHT69,PHN11_PHW65_0266,PHT69,242,136,12.0168464675612,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,81,10,1,PHN11_PHW65_0206/PHT69,PHN11_PHW65_0206,PHT69,247,98,13.689404545214,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,82,10,2,PHN11_PHW65_0305/PHT69,PHN11_PHW65_0305,PHT69,221,85,9.85858029699189,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,83,10,3,PHN11_PHW65_0408/PHT69,PHN11_PHW65_0408,PHT69,248,104,12.9398921043372,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,84,10,4,PHN11_PHW65_0133/PHT69,PHN11_PHW65_0133,PHT69,241,110,8.13364646558337,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,85,10,5,PHN11_PHW65_0258/PHT69,PHN11_PHW65_0258,PHT69,209,113,11.1190644296555,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,86,10,6,B37/MO17,B37,MO17,268,131,12.6724676675143,20.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,87,10,7,PHN11_PHW65_0282/PHT69,PHN11_PHW65_0282,PHT69,224,104,13.7162856305974,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,88,10,8,PHN11_PHW65_0275/PHT69,PHN11_PHW65_0275,PHT69,226,90,11.0497435790965,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,89,10,9,PHN11_PHW65_0352/PHT69,PHN11_PHW65_0352,PHT69,221,93,11.7691399615638,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,1,90,10,10,PHN11_PHW65_0155/PHT69,PHN11_PHW65_0155,PHT69,214,91,10.6948208242347,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,91,11,10,LH74/PHN82,LH74,PHN82,207,90,11.9390530686006,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,92,11,9,PHW65_MOG_0082/PHT69,PHW65_MOG_0082,PHT69,244,125,13.5281950560808,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,93,11,8,MOG/PHT69,MOG,PHT69,271,150,11.9689380575082,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,94,11,7,B14A/H95,B14A,H95,248,107,11.8329151440781,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,95,11,6,PHW65_MOG_0439/PHT69,PHW65_MOG_0439,PHT69,254,132,14.2494399945631,20.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,96,11,5,PHW65_MOG_0660/PHT69,PHW65_MOG_0660,PHT69,253,112,13.14115364046,19.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,97,11,4,PHW65_MOG_0170/PHT69,PHW65_MOG_0170,PHT69,227,94,9.72355868473655,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,98,11,3,PHW65_MOG_0329/PHT69,PHW65_MOG_0329,PHT69,246,127,15.1817284114136,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,99,11,2,PHW65_MOG_0307/PHT69,PHW65_MOG_0307,PHT69,247,121,12.7846133990852,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,100,11,1,PHW65_MOG_0375/PHT69,PHW65_MOG_0375,PHT69,247,110,14.6347869005035,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,101,12,1,PHW65_MOG_0268/PHT69,PHW65_MOG_0268,PHT69,266,114,12.9324978802776,20.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,102,12,2,PHW65_MOG_0137/PHT69,PHW65_MOG_0137,PHT69,258,112,13.5596205083342,20.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,103,12,3,PHW65_MOG_0069/PHT69,PHW65_MOG_0069,PHT69,248,102,9.9697247273881,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,104,12,4,PHW65_MOG_0218/PHT69,PHW65_MOG_0218,PHT69,252,137,11.5658758230915,19.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,105,12,5,PHW65_MOG_0544/PHT69,PHW65_MOG_0544,PHT69,247,122,12.3543619866159,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,106,12,6,B73/MO17,B73,MO17,253,95,14.3662841393385,21.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,107,12,7,PHW65_MOG_0199/PHT69,PHW65_MOG_0199,PHT69,238,119,10.9804227285376,20.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,108,12,8,PHW65_MOG_0116/PHT69,PHW65_MOG_0116,PHT69,244,111,11.648983820595,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,109,12,9,PHW65_MOG_0423/PHT69,PHW65_MOG_0423,PHT69,233,112,11.6955828368041,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,110,12,10,PHW65_MOG_0305/PHT69,PHW65_MOG_0305,PHT69,263,124,8.48209927439302,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,111,13,10,PHW65_MOG_0308/PHT69,PHW65_MOG_0308,PHT69,233,122,11.5226658262432,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,112,13,9,B14A/OH43,B14A,OH43,257,109,12.7172951508757,21
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,113,13,8,PHW65_MOG_0127/PHT69,PHW65_MOG_0127,PHT69,253,130,10.3130940071567,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,114,13,7,PHW65_MOG_0109/PHT69,PHW65_MOG_0109,PHT69,231,96,10.5071923887218,21.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,115,13,6,PHW65_MOG_0012/PHT69,PHW65_MOG_0012,PHT69,240,109,12.8621757285439,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,116,13,5,B73/PHM49,B73,PHM49,263,126,NA,NA
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,117,13,4,PHW65_MOG_0253/PHT69,PHW65_MOG_0253,PHT69,265,140,13.7680451990148,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,118,13,3,PHW65_MOG_0157/PHT69,PHW65_MOG_0157,PHT69,248,104,10.6466813446799,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,119,13,2,PHW65_MOG_0436/PHT69,PHW65_MOG_0436,PHT69,236,94,11.5440012435819,20.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,120,13,1,PHW65_MOG_0119/PHT69,PHW65_MOG_0119,PHT69,236,129,10.2443123187689,21.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,121,14,1,PHW65_MOG_0162/PHT69,PHW65_MOG_0162,PHT69,244,115,10.8177497992259,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,122,14,2,PHW65_MOG_0420/PHT69,PHW65_MOG_0420,PHT69,219,103,13.1983048305875,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,123,14,3,PHW65_MOG_0232/PHT69,PHW65_MOG_0232,PHT69,241,110,15.4141073071207,20.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,124,14,4,PHW65_MOG_0545/PHT69,PHW65_MOG_0545,PHT69,230,118,11.3236379619717,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,125,14,5,PHW65_MOG_0173/PHT69,PHW65_MOG_0173,PHT69,227,123,12.9237172392068,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,126,14,6,PHW65_MOG_0448/PHT69,PHW65_MOG_0448,PHT69,226,125,7.22739187927604,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,127,14,7,PHW65_MOG_0125/PHT69,PHW65_MOG_0125,PHT69,231,114,5.99332669299219,20.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,128,14,8,PHW65_MOG_0155/PHT69,PHW65_MOG_0155,PHT69,252,126,15.837965796705,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,129,14,9,PHW65_MOG_0262/PHT69,PHW65_MOG_0262,PHT69,247,132,11.3994287585828,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,130,14,10,PHW65_MOG_0266/PHT69,PHW65_MOG_0266,PHT69,239,111,12.800634217881,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,131,15,10,PHW65_MOG_0194/PHT69,PHW65_MOG_0194,PHT69,232,114,11.3566809007381,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,132,15,9,PHW65_MOG_0121/PHT69,PHW65_MOG_0121,PHT69,255,145,14.6163783635218,20.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,133,15,8,PHW65_MOG_0583/PHT69,PHW65_MOG_0583,PHT69,239,126,14.3826900739708,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,134,15,7,PHW65_MOG_0086/PHT69,PHW65_MOG_0086,PHT69,207,112,8.52954554544228,20.9
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,135,15,6,PHW65_MOG_0040/PHT69,PHW65_MOG_0040,PHT69,245,78,10.2645694117655,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,136,15,5,B37/H95,B37,H95,274,127,13.8825016256044,20.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,137,15,4,PHW65_MOG_0063/PHT69,PHW65_MOG_0063,PHT69,243,130,12.9978135261376,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,138,15,3,PHW65_MOG_0431/PHT69,PHW65_MOG_0431,PHT69,233,94,12.2466835987477,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,139,15,2,PHW65_MOG_0326/PHT69,PHW65_MOG_0326,PHT69,244,102,10.5933813129168,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,140,15,1,PHW65_MOG_0122/PHT69,PHW65_MOG_0122,PHT69,252,139,14.855766367452,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,141,16,1,PHW65_MOG_0621/PHT69,PHW65_MOG_0621,PHT69,246,123,14.0139031489972,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,142,16,2,PHW65_MOG_0006/PHT69,PHW65_MOG_0006,PHT69,247,126,11.7716047029171,20.4
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,143,16,3,PHW65_MOG_0133/PHT69,PHW65_MOG_0133,PHT69,233,106,12.7365509426976,20.5
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,144,16,4,PHW65_MOG_0175/PHT69,PHW65_MOG_0175,PHT69,235,109,9.37063853222422,21
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,145,16,5,PHW65_MOG_0032/PHT69,PHW65_MOG_0032,PHT69,242,133,10.1289316141718,20.3
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,146,16,6,PHW65_MOG_0201/PHT69,PHW65_MOG_0201,PHT69,219,112,8.68821327005502,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,147,16,7,PHW65_MOG_0176/PHT69,PHW65_MOG_0176,PHT69,228,107,11.9855750616423,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,148,16,8,PHW65_MOG_0513/PHT69,PHW65_MOG_0513,PHT69,248,122,8.61581149280451,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,149,16,9,PHW65_MOG_0055/PHT69,PHW65_MOG_0055,PHT69,243,122,11.6132450709735,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,150,16,10,PHW65_MOG_0620/PHT69,PHW65_MOG_0620,PHT69,252,112,13.27632929905,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,151,17,10,PHW65_MOG_0180/PHT69,PHW65_MOG_0180,PHT69,212,100,11.2480012116951,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,152,17,9,PHW65_MOG_0633/PHT69,PHW65_MOG_0633,PHT69,232,111,13.0631291719976,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,153,17,8,PHW65_MOG_0087/PHT69,PHW65_MOG_0087,PHT69,231,120,9.52699556181825,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,154,17,7,B37/OH43,B37,OH43,233,107,9.66178610457179,21.6
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,155,17,6,PHW65_MOG_0287/PHT69,PHW65_MOG_0287,PHT69,204,104,9.8343179992963,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,156,17,5,PHW65_MOG_0384/PHT69,PHW65_MOG_0384,PHT69,223,103,16.1651602113433,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,157,17,4,PHW65_MOG_0217/PHT69,PHW65_MOG_0217,PHT69,228,105,10.5631112081727,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,158,17,3,PHW65_MOG_0064/PHT69,PHW65_MOG_0064,PHT69,236,127,10.0071579866899,19.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,159,17,2,PHW65_MOG_0393/PHT69,PHW65_MOG_0393,PHT69,226,93,12.0156140968846,20
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,160,17,1,PHW65_MOG_0132/PHT69,PHW65_MOG_0132,PHT69,239,114,11.7124509104401,20.8
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,161,18,1,PHW65_MOG_0517/PHT69,PHW65_MOG_0517,PHT69,239,81,10.4526599862821,21.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,162,18,2,PHW65_MOG_0037/PHT69,PHW65_MOG_0037,PHT69,250,133,12.661684424094,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,163,18,3,PHW65_MOG_0321/PHT69,PHW65_MOG_0321,PHT69,236,104,13.0919358365632,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,164,18,4,PHW65_MOG_0554/PHT69,PHW65_MOG_0554,PHT69,237,123,10.8792142867215,20.2
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,165,18,5,PHW65_MOG_0327/PHT69,PHW65_MOG_0327,PHT69,248,114,12.0621360899263,20.1
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,166,18,6,PHW65_MOG_0059/PHT69,PHW65_MOG_0059,PHT69,236,133,11.0553662703085,20.7
DEH1_2019,2019,DEH1,G2F_PHT69,1,2,167,18,7,PHW65/PHT69,PHW65,PHT69,220,112,8.84534053132197,20.8
