"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-051xZM-0002","PLA-051","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,12,4,10.42,NA,NA,316.2,111.14,8.89
"PLA-025xZM-0002","PLA-025","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,7,11.4,NA,NA,298.23,108.28,7.73
"PLA-008xZM-0002","PLA-008","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,11,1,9.58,NA,NA,305.17,110.88,6.89
"PLA-015xZM-0002","PLA-015","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,11,15.31,NA,NA,283.08,109.05,8.92
"PLA-057xZM-0002","PLA-057","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,2,6,8.43,NA,NA,293.76,109.79,9.73
"PLA-055xZM-0002","PLA-055","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,1,11,10.65,NA,NA,301.61,103.74,9.66
"PLA-030xZM-0002","PLA-030","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,3,10,13.14,NA,NA,285.64,107.66,8.02
"PLA-053xZM-0002","PLA-053","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,12,8,10.88,NA,NA,296.86,110.75,10.22
"PLA-043xZM-0002","PLA-043","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,1,4,10.81,NA,NA,297.14,109.52,9.76
"PLB-029xZM-0002","PLB-029","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,8,5,12.69,NA,NA,300.32,108.02,10.88
"PLB-048xZM-0002","PLB-048","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,10,11.31,NA,NA,278.27,107.49,8.84
"PLB-019xZM-0002","PLB-019","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,3,4,13.02,NA,NA,296.17,121.33,9.37
"PLB-030xZM-0002","PLB-030","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,1,10,10.69,NA,NA,288.58,108.43,7.5
"PLB-047xZM-0002","PLB-047","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,8,11,11.1,NA,NA,281.69,114.04,9.26
"PLB-008xZM-0002","PLB-008","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,4,1,10.9,NA,NA,318.19,112.23,9.41
"PLB-025xZM-0002","PLB-025","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,6,11.68,NA,NA,288.77,110.63,10.73
"PLB-022xZM-0002","PLB-022","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,10,12,10.79,NA,NA,275.07,112.38,9.1
"PLB-026xZM-0002","PLB-026","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,8,4,11.06,NA,NA,314.51,107.53,8.43
"PLB-033xZM-0002","PLB-033","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,7,3,9.51,NA,NA,298.45,113.56,8.68
"PLB-053xZM-0002","PLB-053","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,3,9,13.09,NA,NA,292.7,114.46,8.92
"PLB-049xZM-0002","PLB-049","ZM-0002","EAST-2024-L1","EAST-2024-L1-B1",1,4,5,13.46,NA,NA,296.64,116.23,9.46
"PLA-042xZM-0003","PLA-042","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,6,6,8.81,NA,NA,287.42,112.11,9.7
"PLA-058xZM-0003","PLA-058","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,1,5,12.59,NA,NA,298.1,110.83,9.71
"PLA-002xZM-0003","PLA-002","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,9,8,10.63,NA,NA,274.25,115.57,9.08
"PLA-051xZM-0003","PLA-051","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,11,7,10.9,NA,NA,286.07,115.26,9.8
"PLA-025xZM-0003","PLA-025","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,2,3,9.83,NA,NA,302.93,113.37,9.17
"PLA-008xZM-0003","PLA-008","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,9,2,10,NA,NA,289.48,113.88,8.44
"PLA-015xZM-0003","PLA-015","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,1,7,11.56,NA,NA,282.72,116.72,10.04
"PLA-057xZM-0003","PLA-057","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,2,5,7.78,NA,NA,268.76,119.88,11.45
"PLA-055xZM-0003","PLA-055","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,2,12,11.75,NA,NA,290.65,115.92,8.42
"PLA-030xZM-0003","PLA-030","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,12,1,11.83,NA,NA,289.74,122.82,9.94
"PLA-053xZM-0003","PLA-053","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,12,9.46,NA,NA,268.18,113.32,10.66
"PLA-043xZM-0003","PLA-043","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,3,1,8.06,NA,NA,289.34,113.46,10.93
"PLB-029xZM-0003","PLB-029","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,10,1,14.35,NA,NA,292.67,113.23,12.4
"PLB-048xZM-0003","PLB-048","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,3,3,13.68,NA,NA,265.31,117.45,11.87
"PLB-019xZM-0003","PLB-019","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,11,12,12.24,NA,NA,294.13,120.8,9.2
"PLB-030xZM-0003","PLB-030","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,7,10,NA,NA,255.37,119.93,9.63
"PLB-047xZM-0003","PLB-047","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,1,3,10.59,NA,NA,265.24,117.87,11.99
"PLB-008xZM-0003","PLB-008","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,6,8,11.09,NA,NA,284.4,114.75,10.18
"PLB-025xZM-0003","PLB-025","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,8,3,11.24,NA,NA,277.64,117.15,10.63
"PLB-022xZM-0003","PLB-022","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,1,6,8.08,NA,NA,246.62,117.17,10.8
"PLB-026xZM-0003","PLB-026","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,4,3,9.87,NA,NA,302.07,113.6,11.33
"PLB-033xZM-0003","PLB-033","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,7,6,9.64,NA,NA,292.01,119.94,9.4
"PLB-053xZM-0003","PLB-053","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,7,2,9.81,NA,NA,283.87,117.79,11.24
"PLB-049xZM-0003","PLB-049","ZM-0003","EAST-2024-L1","EAST-2024-L1-B1",1,7,5,9.45,NA,NA,262.56,114.1,10.58
"PLA-042xZM-0001","PLA-042","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,8,9,15.41,NA,NA,305.5,109.36,8.53
"PLA-058xZM-0001","PLA-058","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,5,6,12.75,NA,NA,317.51,107.96,10.93
"PLA-002xZM-0001","PLA-002","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,8,1,14.11,NA,NA,313.72,109.61,7.9
"PLA-051xZM-0001","PLA-051","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,10,11,13.68,NA,NA,309.77,110.53,8.81
"PLA-025xZM-0001","PLA-025","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,12,3,13.21,NA,NA,330.17,109.64,6.92
"PLA-008xZM-0001","PLA-008","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,7,12,12.09,NA,NA,323.51,114.32,8.23
"PLA-015xZM-0001","PLA-015","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,6,9,14.41,NA,NA,297.72,113.6,9.59
"PLA-057xZM-0001","PLA-057","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,7,9,8.8,NA,NA,310.38,114.62,8.78
"PLA-055xZM-0001","PLA-055","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,8,6,11.63,NA,NA,317.45,109.42,6.71
"PLA-030xZM-0001","PLA-030","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,12,10,13.45,NA,NA,301.42,110.8,8.42
"PLA-053xZM-0001","PLA-053","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,4,10,14.59,NA,NA,307,104.68,9.98
"PLA-043xZM-0001","PLA-043","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,9,10,13.33,NA,NA,317.51,106.19,9.81
"PLB-029xZM-0001","PLB-029","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,5,11,14.57,NA,NA,306.09,107.66,8.94
"PLB-048xZM-0001","PLB-048","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,10,3,14.6,NA,NA,290.77,113.72,10.12
"PLB-019xZM-0001","PLB-019","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,12,6,15.07,NA,NA,331.54,117.21,7.81
"PLB-030xZM-0001","PLB-030","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,11,2,12.41,NA,NA,306.71,111.63,8.36
"PLB-047xZM-0001","PLB-047","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,2,8,13.7,NA,NA,297.6,112.83,9.3
"PLB-008xZM-0001","PLB-008","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,8,10,11.93,NA,NA,323.07,112.48,9.6
"PLB-025xZM-0001","PLB-025","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,4,2,13.61,NA,NA,321,116.52,9.41
"PLB-022xZM-0001","PLB-022","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,5,12,11.47,NA,NA,297.13,113.56,9.28
"PLB-026xZM-0001","PLB-026","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,7,4,12.05,NA,NA,310.96,110.63,9.26
"PLB-033xZM-0001","PLB-033","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,9,7,12.03,NA,NA,286.07,111.62,8.45
"PLB-053xZM-0001","PLB-053","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,4,12,14.27,NA,NA,296.91,115.35,9.04
"PLB-049xZM-0001","PLB-049","ZM-0001","EAST-2024-L1","EAST-2024-L1-B2",2,6,3,9.46,NA,NA,323.44,115.93,8.62
"PLA-042xZM-0002","PLA-042","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,9,9,11.87,NA,NA,306.03,111.54,9.57
"PLA-058xZM-0002","PLA-058","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,11,8,10.11,NA,NA,316.83,106.76,8.55
"PLA-002xZM-0002","PLA-002","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,7,11,11.26,NA,NA,312.79,111.83,7.22
"PLA-051xZM-0002","PLA-051","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,6,11,11.99,NA,NA,309.6,109.19,8.8
"PLA-025xZM-0002","PLA-025","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,3,8,9.91,NA,NA,315.41,104.95,8.6
"PLA-008xZM-0002","PLA-008","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,12,2,10.06,NA,NA,304.54,114.68,7.1
"PLA-015xZM-0002","PLA-015","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,10,4,14.01,NA,NA,289.79,109.73,8.62
"PLA-057xZM-0002","PLA-057","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,5,9,6.41,NA,NA,299.81,107.8,8.47
"PLA-055xZM-0002","PLA-055","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,2,2,10.66,NA,NA,308.81,110.64,8.95
"PLA-030xZM-0002","PLA-030","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,4,4,14.84,NA,NA,292.23,112.91,9.08
"PLA-053xZM-0002","PLA-053","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,2,4,14.39,NA,NA,283.84,111.12,10.31
"PLA-043xZM-0002","PLA-043","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,12,9,10.23,NA,NA,289.84,106.59,9.1
"PLB-029xZM-0002","PLB-029","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,2,7,13.46,NA,NA,332.25,109.81,10.1
"PLB-048xZM-0002","PLB-048","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,11,4,12.35,NA,NA,281.21,110.92,8.89
"PLB-019xZM-0002","PLB-019","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,11,6,15.57,NA,NA,321.72,118.01,8.07
"PLB-030xZM-0002","PLB-030","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,5,4,11.86,NA,NA,279.68,117.11,9.41
"PLB-047xZM-0002","PLB-047","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,11,10,11.71,NA,NA,283.78,114.11,10.12
"PLB-008xZM-0002","PLB-008","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,6,5,10.58,NA,NA,304.53,114.43,7.99
"PLB-025xZM-0002","PLB-025","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,3,5,12.97,NA,NA,280.82,116.11,9.49
"PLB-022xZM-0002","PLB-022","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,3,11,11.02,NA,NA,285.83,112.95,9.49
"PLB-026xZM-0002","PLB-026","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,6,4,14.01,NA,NA,318.57,108.77,8.66
"PLB-033xZM-0002","PLB-033","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,5,5,11.74,NA,NA,292.6,113.23,9.37
"PLB-053xZM-0002","PLB-053","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,9,11,9.56,NA,NA,290.99,114.62,7.88
"PLB-049xZM-0002","PLB-049","ZM-0002","EAST-2024-L1","EAST-2024-L1-B2",2,4,9,8.76,NA,NA,277.61,111.38,8.4
"PLA-042xZM-0003","PLA-042","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,11,5,6.78,NA,NA,294.6,118.34,8.13
"PLA-058xZM-0003","PLA-058","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,2,9,11.95,NA,NA,301.18,109.41,10.76
"PLA-002xZM-0003","PLA-002","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,3,2,12.47,NA,NA,271.19,116.53,8.72
"PLA-051xZM-0003","PLA-051","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,1,8,11.61,NA,NA,286.2,119.69,8.49
"PLA-025xZM-0003","PLA-025","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,6,2,10.34,NA,NA,296.44,114.96,9.21
"PLA-008xZM-0003","PLA-008","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,5,3,8.72,NA,NA,291.78,119.72,9.11
"PLA-015xZM-0003","PLA-015","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,9,12,12.44,NA,NA,288.71,115.87,9.63
"PLA-057xZM-0003","PLA-057","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,9,5,12.13,NA,NA,262.72,117.13,10.07
"PLA-055xZM-0003","PLA-055","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,6,1,14.33,NA,NA,294.62,117.49,10.28
"PLA-030xZM-0003","PLA-030","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,1,2,12.13,NA,NA,299.73,121.29,9.61
"PLA-053xZM-0003","PLA-053","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,5,2,9.52,NA,NA,283.62,118.71,10.93
"PLA-043xZM-0003","PLA-043","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,8,2,9.66,NA,NA,269.57,114.24,10.76
"PLB-029xZM-0003","PLB-029","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,1,12,13.86,NA,NA,310.5,116.95,11.5
"PLB-048xZM-0003","PLB-048","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,3,7,14.49,NA,NA,281.11,113.45,10.52
"PLB-019xZM-0003","PLB-019","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,5,1,12.46,NA,NA,309.35,124.28,9.85
"PLB-030xZM-0003","PLB-030","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,12,7,11.48,NA,NA,269.89,119.4,10.46
"PLB-047xZM-0003","PLB-047","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,9,4,14.26,NA,NA,278.03,124.65,12.42
"PLB-008xZM-0003","PLB-008","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,2,1,11.94,NA,NA,299.66,117.84,11.79
"PLB-025xZM-0003","PLB-025","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,3,6,11.05,NA,NA,290.12,120.09,9.53
"PLB-022xZM-0003","PLB-022","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,3,12,12.13,NA,NA,256.55,121.83,10.23
"PLB-026xZM-0003","PLB-026","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,12,12,11.44,NA,NA,282.81,113.69,10.98
"PLB-033xZM-0003","PLB-033","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,7,10,9.58,NA,NA,276.13,121.61,9.36
"PLB-053xZM-0003","PLB-053","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,5,7,10.4,NA,NA,278.25,120.99,10.23
"PLB-049xZM-0003","PLB-049","ZM-0003","EAST-2024-L1","EAST-2024-L1-B2",2,4,6,9.38,NA,NA,250.24,116.98,11.21
"PLA-042xZM-0001","PLA-042","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,11,10,12.19,NA,NA,270.86,107.81,4.33
"PLA-058xZM-0001","PLA-058","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,12,11,11.5,NA,NA,301.55,106.65,4.94
"PLA-002xZM-0001","PLA-002","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,1,10,12.55,NA,NA,304.81,106.73,3.54
"PLA-051xZM-0001","PLA-051","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,1,9,13.61,NA,NA,262.2,100.93,4.5
"PLA-025xZM-0001","PLA-025","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,8,1,12.52,NA,NA,295.06,110.15,3.92
"PLA-008xZM-0001","PLA-008","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,7,10,7.43,NA,NA,258.32,101.62,1.62
"PLA-015xZM-0001","PLA-015","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,12,5,14.81,NA,NA,283.23,109.3,3.24
"PLA-057xZM-0001","PLA-057","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,2,10,6.55,NA,NA,289.75,112.04,4.46
"PLA-055xZM-0001","PLA-055","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,9,8,7.52,NA,NA,258.9,101.61,2.6
"PLA-030xZM-0001","PLA-030","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,8,9,11.08,NA,NA,264.52,105.16,2.73
"PLA-053xZM-0001","PLA-053","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,11,4,8.38,NA,NA,282.23,106.25,6.96
"PLA-043xZM-0001","PLA-043","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,6,7,7.06,NA,NA,244.34,98.08,3.85
"PLB-029xZM-0001","PLB-029","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,5,4,12,NA,NA,304.06,105.27,6.99
"PLB-048xZM-0001","PLB-048","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,8,6,12.37,NA,NA,274.26,102.8,5.15
"PLB-019xZM-0001","PLB-019","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,2,7,14.49,NA,NA,278.26,109.45,4.61
"PLB-030xZM-0001","PLB-030","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,2,8,10.81,NA,NA,258.38,107.47,3.36
"PLB-047xZM-0001","PLB-047","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,8,8,10.81,NA,NA,257.02,104.15,5.88
"PLB-008xZM-0001","PLB-008","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,9,6,12.51,NA,NA,273.15,107.08,5.35
"PLB-025xZM-0001","PLB-025","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,7,5,14.15,NA,NA,260.4,109.4,5.36
"PLB-022xZM-0001","PLB-022","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,5,5,15.44,NA,NA,254.88,111.45,4.73
"PLB-026xZM-0001","PLB-026","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,10,6,12.83,NA,NA,258.34,104.16,4.67
"PLB-033xZM-0001","PLB-033","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,9,10,5.03,NA,NA,252.97,108.37,3.71
"PLB-053xZM-0001","PLB-053","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,11,1,11.84,NA,NA,291.18,116.58,5.75
"PLB-049xZM-0001","PLB-049","ZM-0001","EAST-2024-L2","EAST-2024-L2-B1",1,3,5,11.12,NA,NA,262.96,111.66,5.39
"PLA-042xZM-0002","PLA-042","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,6,11,6.57,NA,NA,258.83,106.73,3.79
"PLA-058xZM-0002","PLA-058","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,4,9,5.57,NA,NA,262.91,102.23,3.42
"PLA-002xZM-0002","PLA-002","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,3,10,9.62,NA,NA,265.97,102.46,1.41
"PLA-051xZM-0002","PLA-051","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,11,7,11.14,NA,NA,280.93,106.76,3.53
"PLA-025xZM-0002","PLA-025","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,10,9,10.36,NA,NA,271.02,106.34,2.8
"PLA-008xZM-0002","PLA-008","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,12,9,11.22,NA,NA,249.65,103.25,1.48
"PLA-015xZM-0002","PLA-015","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,1,1,14.43,NA,NA,290.16,108.51,3.5
"PLA-057xZM-0002","PLA-057","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,1,8,9.84,NA,NA,271.11,104.29,5.13
"PLA-055xZM-0002","PLA-055","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,4,3,10.05,NA,NA,288.19,105.65,5.32
"PLA-030xZM-0002","PLA-030","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,9,1,13.12,NA,NA,271.44,110.39,4.17
"PLA-053xZM-0002","PLA-053","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,2,2,7.72,NA,NA,272.91,108.86,5.99
"PLA-043xZM-0002","PLA-043","ZM-0002","EAST-2024-L2","EAST-2024-L2-B1",1,4,4,7.5,NA,NA,254.38,106.79,4.39
