"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLA-030xZM-0002","PLA-030","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,12,8,21.94,9.23,66.51,270.25,116.98,6.67
"PLA-044xZM-0002","PLA-044","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,10,11,18.09,8.3,74.21,279.65,107.64,9.54
"PLA-009xZM-0002","PLA-009","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,2,11,19.01,9.81,74.28,274.95,118.79,7.46
"PLA-043xZM-0002","PLA-043","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,12,5,17.27,7.67,70.3,275.84,117.33,10.86
"PLA-024xZM-0002","PLA-024","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,8,1,17.47,10.43,73.15,281.63,121.31,9
"PLA-002xZM-0002","PLA-002","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,8,7,19.84,8.05,66.4,312.79,114.32,7.68
"PLB-047xZM-0002","PLB-047","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,3,1,14.04,8.8,70.43,295.82,118.79,9.72
"PLB-053xZM-0002","PLB-053","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,10,2,13.62,9.29,73.28,303.13,111.41,9.29
"PLB-045xZM-0002","PLB-045","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,2,8,18.75,8.41,73.31,272.73,120.19,8.07
"PLB-026xZM-0002","PLB-026","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,2,1,13.69,9.22,75.2,306.44,115.66,7.06
"PLB-025xZM-0002","PLB-025","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,11,6,15.29,9.26,71.12,297.68,118.57,7.37
"PLB-022xZM-0002","PLB-022","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,12,9,16.06,8.05,68.81,278.24,117.33,8.09
"PLB-052xZM-0002","PLB-052","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,9,11,13.69,8.63,71.97,294.16,120.76,7.84
"PLB-027xZM-0002","PLB-027","ZM-0002","WEST-2024-L1","WEST-2024-L1-B3",3,10,4,13.98,8.44,63.15,286.93,114.49,9.14
"PLA-053xZM-0003","PLA-053","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,12,3,20.71,9.73,71.39,298.95,116.56,10.09
"PLA-014xZM-0003","PLA-014","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,3,7,18.94,8.97,74.21,300.17,125.01,8.97
"PLA-030xZM-0003","PLA-030","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,1,9,19.77,9.07,72.49,299.03,121.7,7.44
"PLA-044xZM-0003","PLA-044","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,6,3,16.71,8.54,75.01,288.03,116.3,9.49
"PLA-009xZM-0003","PLA-009","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,3,12,16.09,9.11,74.33,304.6,124.42,9.42
"PLA-043xZM-0003","PLA-043","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,11,5,17.49,9.43,73.4,284.27,119.1,9.56
"PLA-024xZM-0003","PLA-024","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,3,9,16.34,9.01,75.4,305.97,119.18,9.52
"PLA-002xZM-0003","PLA-002","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,5,8,17.77,9.88,70.67,299.78,115.96,7.42
"PLB-047xZM-0003","PLB-047","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,4,5,15.28,9.31,71.44,311.54,119.47,8.37
"PLB-053xZM-0003","PLB-053","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,1,1,17.98,8.73,75,279.53,113.22,9.86
"PLB-045xZM-0003","PLB-045","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,12,11,16.99,9.55,69.76,289.03,120.9,8.13
"PLB-026xZM-0003","PLB-026","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,8,4,17.81,9.22,72.5,294.11,118.54,8.95
"PLB-025xZM-0003","PLB-025","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,8,11,11.87,8.87,71.47,301.62,119.19,8.23
"PLB-022xZM-0003","PLB-022","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,6,2,14.59,8.95,70.37,299.44,114.43,8.68
"PLB-052xZM-0003","PLB-052","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,4,10,18.64,8.3,69.65,296.15,117.92,10.3
"PLB-027xZM-0003","PLB-027","ZM-0003","WEST-2024-L1","WEST-2024-L1-B3",3,1,8,15.43,9.61,67.4,302.07,113.78,8.77
"PLA-053xZM-0001","PLA-053","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,7,11,16.52,8.27,69.41,232.46,124.54,5.63
"PLA-014xZM-0001","PLA-014","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,6,8,12.36,9.3,68.94,200.6,120.54,5.39
"PLA-030xZM-0001","PLA-030","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,4,2,17.84,9.65,70.5,248.92,130.39,5.23
"PLA-044xZM-0001","PLA-044","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,2,2,18.89,9.75,74.44,238.34,125.23,4.94
"PLA-009xZM-0001","PLA-009","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,2,1,18.12,10.72,72.38,261.09,136.88,6.16
"PLA-043xZM-0001","PLA-043","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,6,7,14.26,8.18,71.6,231.15,124.66,6.81
"PLA-024xZM-0001","PLA-024","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,9,4,16.33,9.52,76.39,252,131.61,5.24
"PLA-002xZM-0001","PLA-002","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,7,6,16.26,8.79,71.58,268.32,124.43,5.12
"PLB-047xZM-0001","PLB-047","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,3,2,15.25,10.06,68.32,261.13,128.57,5
"PLB-053xZM-0001","PLB-053","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,4,5,10.11,10.2,74.58,250.82,127.11,6.22
"PLB-045xZM-0001","PLB-045","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,10,9,15.03,8.41,67.33,227.35,125.31,4.25
"PLB-026xZM-0001","PLB-026","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,4,11,13.26,9.71,70.98,229.14,125.17,3.71
"PLB-025xZM-0001","PLB-025","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,8,4,13.79,9.92,72.48,242.03,133.93,5.85
"PLB-022xZM-0001","PLB-022","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,3,1,16.43,9.15,72.13,246.14,125.48,6.53
"PLB-052xZM-0001","PLB-052","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,6,2,17.18,8.67,71.18,264.95,127.55,7.93
"PLB-027xZM-0001","PLB-027","ZM-0001","WEST-2024-L2","WEST-2024-L2-B1",1,4,8,11,8.78,60.51,237.17,126.08,3.71
"PLA-053xZM-0002","PLA-053","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,5,4,17.63,8.69,75.45,251.75,133.12,4.95
"PLA-014xZM-0002","PLA-014","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,3,5,17.8,8.28,72.23,218.61,129.74,6.38
"PLA-030xZM-0002","PLA-030","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,2,4,20.48,8.38,64.99,225.42,124.96,5.2
"PLA-044xZM-0002","PLA-044","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,2,8,15.17,7.23,75.46,208.15,122.18,6.02
"PLA-009xZM-0002","PLA-009","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,12,10,14.37,8.33,70.1,216.84,129.75,5.01
"PLA-043xZM-0002","PLA-043","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,3,6,13.86,10.13,69.58,215.29,124.82,5.96
"PLA-024xZM-0002","PLA-024","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,6,9,16.48,9.61,71.35,230.83,125.69,6
"PLA-002xZM-0002","PLA-002","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,1,4,16.25,8.97,67.74,228.67,124.88,4.25
"PLB-047xZM-0002","PLB-047","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,10,11,15.24,9.1,67.89,247.31,125.49,5.59
"PLB-053xZM-0002","PLB-053","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,11,11,11.41,8.38,70.74,236.11,124.96,6.25
"PLB-045xZM-0002","PLB-045","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,12,8,15.34,7.76,71.03,233.39,131.61,4.57
"PLB-026xZM-0002","PLB-026","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,6,10,13.55,6.8,72.27,220.85,124.49,4.14
"PLB-025xZM-0002","PLB-025","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,7,7,15.39,8.7,68.45,245.72,124.72,4.89
"PLB-022xZM-0002","PLB-022","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,12,2,12.57,7.26,74.77,240.06,124.14,6.19
"PLB-052xZM-0002","PLB-052","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,4,12,15.08,7.43,74.02,238.81,126.98,5.54
"PLB-027xZM-0002","PLB-027","ZM-0002","WEST-2024-L2","WEST-2024-L2-B1",1,1,2,14.29,8.42,71.12,218.08,122.7,4.73
