"genotype","parent1","parent2","env","block","rep","row","col","yield","grain_protein","test_weight","plant_height","maturity","standability"
"PLB-035xZM-0001","PLB-035","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,6,11.2,NA,NA,264.49,119.46,NA
"PLB-057xZM-0001","PLB-057","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,1,8.96,NA,NA,265.15,120.44,NA
"PLB-039xZM-0001","PLB-039","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,4,13.12,NA,NA,244.74,112.59,NA
"PLB-043xZM-0001","PLB-043","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,6,11.78,NA,NA,259.28,121.66,NA
"PLB-001xZM-0001","PLB-001","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,6,13.61,NA,NA,270.31,119.89,NA
"PLB-046xZM-0001","PLB-046","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,2,8.95,NA,NA,237.65,112.67,NA
"PLB-011xZM-0001","PLB-011","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,1,11.81,NA,NA,248.35,111.74,NA
"PLB-038xZM-0001","PLB-038","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,3,9.58,NA,NA,277,115.58,NA
"PLB-012xZM-0001","PLB-012","ZM-0001","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,7,9.89,NA,NA,247.03,110.76,NA
"PLA-028xZM-0002","PLA-028","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,3,13.21,NA,NA,218,117.92,NA
"PLA-019xZM-0002","PLA-019","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,5,17.03,NA,NA,240.66,118.78,NA
"PLA-034xZM-0002","PLA-034","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,9,11.71,NA,NA,255.89,112.68,NA
"PLA-054xZM-0002","PLA-054","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,2,13.7,NA,NA,213.71,114.16,NA
"PLA-016xZM-0002","PLA-016","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,8,13.1,NA,NA,242.71,117.6,NA
"PLA-040xZM-0002","PLA-040","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,5,15.11,NA,NA,258.28,111.59,NA
"PLA-022xZM-0002","PLA-022","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,2,13.26,NA,NA,240.83,114.22,NA
"PLA-033xZM-0002","PLA-033","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,7,11.11,NA,NA,236.18,117.63,NA
"PLA-060xZM-0002","PLA-060","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,1,15.56,NA,NA,237.74,124.29,NA
"PLA-027xZM-0002","PLA-027","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,1,15.35,NA,NA,235.67,118.65,NA
"PLA-029xZM-0002","PLA-029","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,1,10.81,NA,NA,240.89,113.63,NA
"PLA-001xZM-0002","PLA-001","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,9,15.32,NA,NA,229.91,119.73,NA
"PLB-005xZM-0002","PLB-005","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,8,12.1,NA,NA,229.02,115.29,NA
"PLB-018xZM-0002","PLB-018","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,9,14.47,NA,NA,232.33,117.85,NA
"PLB-051xZM-0002","PLB-051","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,5,13.37,NA,NA,247.57,125.99,NA
"PLB-035xZM-0002","PLB-035","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,4,12.87,NA,NA,249.14,113.38,NA
"PLB-057xZM-0002","PLB-057","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,3,11.52,NA,NA,248.83,121.68,NA
"PLB-039xZM-0002","PLB-039","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,9,14.01,NA,NA,251.91,115.44,NA
"PLB-043xZM-0002","PLB-043","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,6,13.09,NA,NA,244.62,114.49,NA
"PLB-001xZM-0002","PLB-001","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,8,12.19,NA,NA,254.88,117.52,NA
"PLB-046xZM-0002","PLB-046","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,5,13.51,NA,NA,241.67,116.13,NA
"PLB-011xZM-0002","PLB-011","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,5,13.01,NA,NA,249.04,115.85,NA
"PLB-038xZM-0002","PLB-038","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,7,14.74,NA,NA,259.52,114.77,NA
"PLB-012xZM-0002","PLB-012","ZM-0002","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,1,12.96,NA,NA,249.55,116.6,NA
"PLA-028xZM-0003","PLA-028","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,4,12.34,NA,NA,252.83,122.12,NA
"PLA-019xZM-0003","PLA-019","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,5,16.09,NA,NA,263.38,126.23,NA
"PLA-034xZM-0003","PLA-034","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,5,12.16,NA,NA,243.1,115.05,NA
"PLA-054xZM-0003","PLA-054","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,9,12.06,NA,NA,233.02,115.99,NA
"PLA-016xZM-0003","PLA-016","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,9,14.07,NA,NA,271.16,118.38,NA
"PLA-040xZM-0003","PLA-040","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,1,16.49,NA,NA,267.53,114.03,NA
"PLA-022xZM-0003","PLA-022","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,6,11.09,NA,NA,252.81,118.36,NA
"PLA-033xZM-0003","PLA-033","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,4,8.14,NA,NA,237.17,111.85,NA
"PLA-060xZM-0003","PLA-060","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,2,14.56,NA,NA,254.93,123.28,NA
"PLA-027xZM-0003","PLA-027","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,8,16.47,NA,NA,239.85,117.49,NA
"PLA-029xZM-0003","PLA-029","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,2,14.78,NA,NA,282.27,116.39,NA
"PLA-001xZM-0003","PLA-001","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,3,13.69,NA,NA,234.65,118.26,NA
"PLB-005xZM-0003","PLB-005","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,1,11.81,NA,NA,242.05,119.69,NA
"PLB-018xZM-0003","PLB-018","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,4,12.83,NA,NA,245.9,114.72,NA
"PLB-051xZM-0003","PLB-051","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,5,6,12.55,NA,NA,256.39,121.62,NA
"PLB-035xZM-0003","PLB-035","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,4,4,10.32,NA,NA,277.99,123.92,NA
"PLB-057xZM-0003","PLB-057","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,1,4,11.52,NA,NA,258.61,121.87,NA
"PLB-039xZM-0003","PLB-039","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,7,12.26,NA,NA,261.73,116.4,NA
"PLB-043xZM-0003","PLB-043","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,8,12.61,NA,NA,253.2,118.74,NA
"PLB-001xZM-0003","PLB-001","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,6,3,11.69,NA,NA,259.93,119.86,NA
"PLB-046xZM-0003","PLB-046","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,7,9,10.51,NA,NA,242.19,118.63,NA
"PLB-011xZM-0003","PLB-011","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,2,9,13.25,NA,NA,257.29,113.54,NA
"PLB-038xZM-0003","PLB-038","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,3,4,10.59,NA,NA,255.08,117.69,NA
"PLB-012xZM-0003","PLB-012","ZM-0003","CENTRAL-2025-L1","CENTRAL-2025-L1-B1",1,8,3,9.83,NA,NA,255.08,116.87,NA
