"genotype","env","block","rep","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0097","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,113.07,6.36,48.51,88.24,107.94,20.05
"TOM-0032","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,114.64,5.71,48.12,83.4,103.18,21.42
"TOM-0195","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,105.76,5.81,43.71,79.08,112.44,21.12
"TOM-0143","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,114.67,5.14,39.08,90.8,107.98,13.46
"CHK-01","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,123.94,5.48,40.76,68.11,109.67,11.46
"CHK-02","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,93.37,6.89,37.42,82.84,117.21,18.41
"CHK-03","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,89.44,5.94,38.45,75.33,104.78,17.61
"CHK-04","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,115.38,6.2,29.86,72.26,108.79,15.43
"CHK-05","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,97.61,6.57,45.45,68.75,112.62,21.81
"CHK-06","CAFARM-2025-L5","CAFARM-2025-L5-B2",2,90.36,4.95,47.48,67.13,109.04,16.23
"TOM-0067","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,94.31,4.42,59.84,78.38,114.79,20.71
"TOM-0097","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,107.5,4.71,45.03,81.12,107.44,22.34
"TOM-0032","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,89.76,4.49,46.2,65.85,101.79,24.06
"TOM-0195","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,88.86,4.15,45.4,78.24,117.64,22.44
"TOM-0143","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,92.95,4.53,48.65,71.49,108.56,22.77
"CHK-01","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,91.43,5.17,35.38,70.84,114.13,14.23
"CHK-02","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,68.75,5.68,39.74,78.81,119.43,19.77
"CHK-03","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,73.8,4.82,31.78,62.93,107.6,15.37
"CHK-04","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,89.38,3.91,20.14,78.5,115.23,16.65
"CHK-05","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,79.4,4.02,37.71,64.77,115.25,22.32
"CHK-06","CAFARM-2025-L6","CAFARM-2025-L6-B1",1,69.7,3.64,43.61,67.75,113.36,21.03
"TOM-0067","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,104.46,5.03,38.66,76.57,109.39,18.72
"TOM-0097","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,89.64,4.65,48.76,72.96,112.58,22.27
"TOM-0032","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,110.36,4.47,37.46,75.96,111.71,22.18
"TOM-0195","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,94.43,4.04,51.46,79.71,118,22.23
"TOM-0143","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,98.31,4.54,36.2,80.89,115.81,21.45
"CHK-01","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,91.55,4.46,38.08,61.01,114.28,17.31
"CHK-02","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,83.43,5.62,43.29,74.94,117.33,19.99
"CHK-03","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,69.48,4.72,34.35,64.29,112.77,16.91
"CHK-04","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,84.08,4.15,39.28,75.28,114.78,18.59
"CHK-05","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,80.91,5.13,40.31,72.27,116.17,21.04
"CHK-06","CAFARM-2025-L6","CAFARM-2025-L6-B2",2,73.39,4.78,41.05,79.18,114.09,20.66
"TOM-0067","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,73.31,2.68,53.12,77.28,127.57,23.15
"TOM-0097","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,94.59,2.91,49.37,63.71,128.18,22.38
"TOM-0032","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,92.98,3.88,31.04,64.61,122.23,27.44
"TOM-0195","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,93.67,3.85,45.37,67.92,132.05,23.67
"TOM-0143","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,93.62,2.33,39.87,79.47,126.17,18.38
"CHK-01","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,84.32,3.09,45.31,60.95,124.93,21.16
"CHK-02","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,72.52,3.77,42.42,70.72,134.72,22.11
"CHK-03","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,71.7,3.22,30.99,63.15,121.81,11.01
"CHK-04","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,86.28,2.72,20.68,56.93,127.4,21.42
"CHK-05","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,65.73,3.82,46.86,54.83,122.14,24.31
"CHK-06","CAFARM-2025-L7","CAFARM-2025-L7-B1",1,81.3,2.23,56.1,70.86,129.99,21.9
"TOM-0067","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,97.75,4.26,46.14,77.52,120.97,21.64
"TOM-0097","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,92.26,3.66,42.92,58.62,126.52,23.52
"TOM-0032","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,110.47,3.12,35.12,67.07,126.91,25.02
"TOM-0195","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,102.94,3.65,40.68,58.41,134.49,25.55
"TOM-0143","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,86.14,2.6,30.72,71.35,127.87,16.69
"CHK-01","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,88.1,3.31,33.19,66.07,130.58,20.26
"CHK-02","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,72.55,3.99,25.86,68.43,135.33,22.98
"CHK-03","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,44.06,2.73,31.59,60.38,124.66,17.1
"CHK-04","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,103.52,3.56,36.47,65.06,132.47,22.58
"CHK-05","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,75.24,2.57,30.08,48.51,131.18,21.74
"CHK-06","CAFARM-2025-L7","CAFARM-2025-L7-B2",2,61.26,2.32,38.04,64.69,127.97,21.91
"TOM-0067","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,82.16,4.25,50.51,98.93,124.61,23.22
"TOM-0097","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,103.28,4.49,57.28,83.61,122.95,21.46
"TOM-0032","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,92.52,4.1,43.93,87.05,123.8,23.92
"TOM-0195","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,104.82,4.99,57.88,92.33,130.89,23.72
"TOM-0143","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,102.74,3.54,44.44,102.38,121.75,14.51
"CHK-01","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,98.05,4.49,36.55,83.84,128.21,17.9
"CHK-02","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,67.23,4.8,40.48,85.6,123.79,18.22
"CHK-03","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,58.79,3.48,45.06,83.03,121.97,16.53
"CHK-04","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,99.69,3.61,33.29,94.51,127.83,16.37
"CHK-05","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,76.31,4.39,43.13,73.58,128.6,19.95
"CHK-06","CAFARM-2025-L8","CAFARM-2025-L8-B1",1,76.43,4.04,52.55,80.42,123.81,22.73
"TOM-0067","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,86.08,4.88,52.21,97.17,124.18,21.07
"TOM-0097","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,103.15,4.78,54.39,87.9,122.07,20.68
"TOM-0032","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,100.03,4.65,51.31,80.52,119.22,27.37
"TOM-0195","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,105.31,5.28,56.5,85.87,128.48,20.34
"TOM-0143","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,99.75,4.19,44.6,103.22,123.16,19.24
"CHK-01","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,97.57,5.04,38.79,82.87,125.65,18.4
"CHK-02","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,64.84,5.11,41.36,88.57,124.32,19
"CHK-03","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,77.07,2.86,40.1,81.72,114.73,18.89
"CHK-04","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,96.51,4.39,52.99,84.95,129.65,16.4
"CHK-05","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,74.28,4.58,44.72,81.26,123.85,20.34
"CHK-06","CAFARM-2025-L8","CAFARM-2025-L8-B2",2,77.47,4.88,48.92,89.21,125.78,20.48
"TOM-0067","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,71.54,5.6,52.23,90.25,110.07,17.13
"TOM-0097","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,86.65,4.88,53.8,71.79,118.14,21.3
"TOM-0032","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,85.36,4.61,47.83,77.41,114.73,22.43
"TOM-0195","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,71.65,5.48,43.55,84.77,121.35,22.18
"TOM-0143","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,88.57,4.42,45.73,86.15,117.94,14.03
"CHK-01","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,68.53,5.26,45.41,63.3,115.16,12.53
"CHK-02","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,74.86,6.04,53.3,72.23,119.15,17.45
"CHK-03","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,76.61,4.48,36.76,63.25,111.13,14.48
"CHK-04","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,67.21,4.43,33.54,76.28,113.45,17.94
"CHK-05","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,57.44,5.72,41.12,67.92,120.15,16.97
"CHK-06","CAFARM-2025-L9","CAFARM-2025-L9-B1",1,58.68,4.28,42.18,62.06,114.45,20.36
"TOM-0067","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,79.29,5.88,57.29,93.11,111.67,14.33
"TOM-0097","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,83.8,4.49,48.18,68.45,108.85,18.48
"TOM-0032","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,95.89,5.44,48.31,79.7,112.75,20.77
"TOM-0195","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,79.34,5.15,41.11,63.81,127.05,20.41
"TOM-0143","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,95.5,3.79,46.46,89.38,112.92,13.05
"CHK-01","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,84.03,5.57,40.25,60.67,113.72,17.4
"CHK-02","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,57.73,5.64,37.21,71.67,119.96,14.45
"CHK-03","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,54.94,4.63,38.75,71.32,118.9,8.43
"CHK-04","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,78.32,4.73,23.78,74.45,114.61,20
"CHK-05","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,70.76,5.29,34.31,65.44,117.24,19.77
"CHK-06","CAFARM-2025-L9","CAFARM-2025-L9-B2",2,64.9,4.64,41.52,78.78,110.92,18.57
"TOM-0067","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,112.13,4.84,52.59,85.1,118.3,18.99
"TOM-0097","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,99.1,5.64,50.7,74.65,116.36,22.71
"TOM-0032","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,96.1,4.74,45.77,64.91,115.45,25.91
"TOM-0195","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,84.41,3.84,68.25,81.78,123.6,26.4
"TOM-0143","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,70.1,4.18,37.07,71.07,123.18,19.16
"CHK-01","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,82.72,4.08,36.12,59.87,119.31,19.87
"CHK-02","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,65.88,5.12,48.2,71.32,125.05,19.84
"CHK-03","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,62.21,4.2,34.5,61.86,119.12,18.19
"CHK-04","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,87.57,4.84,35.67,73.25,118.36,14.02
"CHK-05","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,48.79,5.34,33.57,63.7,120.79,21.1
"CHK-06","CAFARM-2025-L10","CAFARM-2025-L10-B1",1,73.64,3.81,38.03,68.3,118.26,22.28
"TOM-0067","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,82.28,4.4,56.02,75.51,114.98,21.91
"TOM-0097","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,88.76,3.52,41.5,67.69,114.09,23.03
"TOM-0032","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,94.51,4.85,43.79,67.58,113.91,28.03
"TOM-0195","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,81.93,4.85,46.94,70.09,125.73,24.53
"TOM-0143","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,101.74,4.58,44.5,89.65,118.32,22.36
"CHK-01","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,68.55,5.68,38.72,61.84,120.35,18.18
"CHK-02","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,77.98,5.41,41.69,70.11,123.41,22.08
"CHK-03","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,67.39,4.21,32.11,67.7,119.78,15.8
"CHK-04","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,87.54,4.01,22.58,63.73,127.4,17.9
"CHK-05","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,63.35,5.1,43.52,52.67,117.19,22.45
"CHK-06","CAFARM-2025-L10","CAFARM-2025-L10-B2",2,70.99,3.77,41.55,72.16,118.54,22.3
