"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLA-002xTOM-0001","PLA-002","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,6,140.64,NA,NA,88.87,114.99,NA
"PLB-006xTOM-0001","PLB-006","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,7,111.16,NA,NA,63.36,120.02,NA
"PLB-026xTOM-0001","PLB-026","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,1,122.08,NA,NA,86.2,116.92,NA
"PLB-025xTOM-0001","PLB-025","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,2,123.68,NA,NA,82.63,121.15,NA
"PLB-045xTOM-0001","PLB-045","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,11,133.66,NA,NA,84.52,117.94,NA
"PLB-030xTOM-0001","PLB-030","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,4,135.22,NA,NA,100.48,116.67,NA
"PLB-052xTOM-0001","PLB-052","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,11,125.82,NA,NA,79.08,113.47,NA
"PLB-047xTOM-0001","PLB-047","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,12,123.74,NA,NA,89.49,115.42,NA
"PLB-029xTOM-0001","PLB-029","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,9,126.79,NA,NA,92.44,110.52,NA
"PLB-053xTOM-0001","PLB-053","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,1,119.84,NA,NA,86.44,116.67,NA
"PLB-033xTOM-0001","PLB-033","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,5,119.82,NA,NA,86.58,118,NA
"PLB-022xTOM-0001","PLB-022","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,3,135.62,NA,NA,90.91,119.09,NA
"PLB-008xTOM-0001","PLB-008","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,4,118.27,NA,NA,82.32,115.96,NA
"PLB-014xTOM-0001","PLB-014","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,8,110.92,NA,NA,78.32,114.68,NA
"PLB-055xTOM-0001","PLB-055","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,10,113.23,NA,NA,76.22,116.83,NA
"PLB-036xTOM-0001","PLB-036","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,10,122.58,NA,NA,86.65,117.96,NA
"PLB-048xTOM-0001","PLB-048","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,12,132.39,NA,NA,94.04,111.26,NA
"PLB-032xTOM-0001","PLB-032","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,2,112.21,NA,NA,82.93,112.61,NA
"PLB-027xTOM-0001","PLB-027","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,5,116.05,NA,NA,87.26,116.37,NA
"PLB-049xTOM-0001","PLB-049","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,7,124.88,NA,NA,83.05,115.57,NA
"PLB-024xTOM-0001","PLB-024","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,9,130.65,NA,NA,84.57,111.48,NA
"PLB-019xTOM-0001","PLB-019","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,5,134.07,NA,NA,91.3,113.43,NA
"PLB-017xTOM-0001","PLB-017","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,1,113.21,NA,NA,90.85,115.53,NA
"PLB-034xTOM-0001","PLB-034","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,10,107.15,NA,NA,82.82,119.38,NA
"PLB-002xTOM-0001","PLB-002","TOM-0001","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,4,125.49,NA,NA,82.55,115.27,NA
"PLA-044xTOM-0002","PLA-044","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,2,149.65,NA,NA,69.9,116.13,NA
"PLA-015xTOM-0002","PLA-015","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,8,138.45,NA,NA,79.96,113.35,NA
"PLA-014xTOM-0002","PLA-014","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,10,124.3,NA,NA,85.45,120.23,NA
"PLA-048xTOM-0002","PLA-048","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,8,127.22,NA,NA,68.42,115.4,NA
"PLA-043xTOM-0002","PLA-043","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,7,135.76,NA,NA,70.04,114.18,NA
"PLA-053xTOM-0002","PLA-053","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,12,135.25,NA,NA,73.84,112.91,NA
"PLA-041xTOM-0002","PLA-041","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,6,138.97,NA,NA,70.62,111.52,NA
"PLA-024xTOM-0002","PLA-024","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,8,134.82,NA,NA,81.78,123.34,NA
"PLA-009xTOM-0002","PLA-009","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,8,138.18,NA,NA,74.43,118.68,NA
"PLA-038xTOM-0002","PLA-038","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,6,141.04,NA,NA,73.29,119.21,NA
"PLA-042xTOM-0002","PLA-042","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,2,159.85,NA,NA,88.39,117.72,NA
"PLA-013xTOM-0002","PLA-013","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,7,120,NA,NA,77.98,116.34,NA
"PLA-055xTOM-0002","PLA-055","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,10,141.26,NA,NA,79.01,109.98,NA
"PLA-058xTOM-0002","PLA-058","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,6,146.86,NA,NA,89.86,111.07,NA
"PLA-057xTOM-0002","PLA-057","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,3,143.7,NA,NA,88.3,123.31,NA
"PLA-008xTOM-0002","PLA-008","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,11,134.05,NA,NA,78.56,120.76,NA
"PLA-012xTOM-0002","PLA-012","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,10,131.64,NA,NA,66.92,116.03,NA
"PLA-004xTOM-0002","PLA-004","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,5,137.8,NA,NA,84.51,116.39,NA
"PLA-051xTOM-0002","PLA-051","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,12,140.26,NA,NA,84.11,114.82,NA
"PLA-025xTOM-0002","PLA-025","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,4,146.44,NA,NA,91.44,113.14,NA
"PLA-056xTOM-0002","PLA-056","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,4,131.85,NA,NA,74.14,120.48,NA
"PLA-023xTOM-0002","PLA-023","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,3,141.43,NA,NA,74.32,115.9,NA
"PLA-030xTOM-0002","PLA-030","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,11,154.73,NA,NA,80.44,119.72,NA
"PLA-002xTOM-0002","PLA-002","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,9,131.49,NA,NA,84.3,116.33,NA
"PLB-006xTOM-0002","PLB-006","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,12,115.46,NA,NA,70.15,118.28,NA
"PLB-026xTOM-0002","PLB-026","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,2,146.58,NA,NA,86.18,119.52,NA
"PLB-025xTOM-0002","PLB-025","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,3,128.22,NA,NA,91.84,119.5,NA
"PLB-045xTOM-0002","PLB-045","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,9,134.01,NA,NA,77.34,118.45,NA
"PLB-030xTOM-0002","PLB-030","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,9,127.45,NA,NA,78.55,113.73,NA
"PLB-052xTOM-0002","PLB-052","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,1,141.01,NA,NA,83.93,116.2,NA
"PLB-047xTOM-0002","PLB-047","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,6,132.47,NA,NA,80.44,116.02,NA
"PLB-029xTOM-0002","PLB-029","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,1,138.94,NA,NA,94.01,115.85,NA
"PLB-053xTOM-0002","PLB-053","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,1,125.7,NA,NA,82.29,118.92,NA
"PLB-033xTOM-0002","PLB-033","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,1,149.72,NA,NA,79.03,115.08,NA
"PLB-022xTOM-0002","PLB-022","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,12,156.97,NA,NA,77.52,114.97,NA
"PLB-008xTOM-0002","PLB-008","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,5,138.72,NA,NA,84.16,112.8,NA
"PLB-014xTOM-0002","PLB-014","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,11,118.53,NA,NA,83.01,121.79,NA
"PLB-055xTOM-0002","PLB-055","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,8,121.66,NA,NA,73.45,112.88,NA
"PLB-036xTOM-0002","PLB-036","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,10,122.22,NA,NA,75.17,112.78,NA
"PLB-048xTOM-0002","PLB-048","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,12,143.96,NA,NA,77.38,110.63,NA
"PLB-032xTOM-0002","PLB-032","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,1,120.87,NA,NA,87.16,110.81,NA
"PLB-027xTOM-0002","PLB-027","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,4,124.05,NA,NA,79.71,114.51,NA
"PLB-049xTOM-0002","PLB-049","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,4,114.57,NA,NA,91.24,115.83,NA
"PLB-024xTOM-0002","PLB-024","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,6,129.71,NA,NA,76.43,116.51,NA
"PLB-019xTOM-0002","PLB-019","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,4,127.53,NA,NA,89.56,112.55,NA
"PLB-017xTOM-0002","PLB-017","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,6,111.03,NA,NA,90.17,115.76,NA
"PLB-034xTOM-0002","PLB-034","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,6,113.47,NA,NA,82.15,121.2,NA
"PLB-002xTOM-0002","PLB-002","TOM-0002","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,11,118.17,NA,NA,73.97,113.64,NA
"PLA-044xTOM-0003","PLA-044","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,10,128.09,NA,NA,76.8,114.34,NA
"PLA-015xTOM-0003","PLA-015","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,2,135.12,NA,NA,93.16,113.85,NA
"PLA-014xTOM-0003","PLA-014","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,10,144.91,NA,NA,86.01,115.47,NA
"PLA-048xTOM-0003","PLA-048","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,7,128.81,NA,NA,88.05,116.09,NA
"PLA-043xTOM-0003","PLA-043","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,7,135.78,NA,NA,89.93,118.47,NA
"PLA-053xTOM-0003","PLA-053","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,5,148.98,NA,NA,83.72,118.24,NA
"PLA-041xTOM-0003","PLA-041","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,6,127.32,NA,NA,84.68,109.77,NA
"PLA-024xTOM-0003","PLA-024","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,5,141.91,NA,NA,84.4,123.85,NA
"PLA-009xTOM-0003","PLA-009","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,10,135.64,NA,NA,83.39,122.68,NA
"PLA-038xTOM-0003","PLA-038","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,4,131.34,NA,NA,77.89,121.88,NA
"PLA-042xTOM-0003","PLA-042","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,11,151.1,NA,NA,92.44,119.03,NA
"PLA-013xTOM-0003","PLA-013","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,5,147.02,NA,NA,77.75,117.96,NA
"PLA-055xTOM-0003","PLA-055","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,2,145.15,NA,NA,90.05,116.21,NA
"PLA-058xTOM-0003","PLA-058","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,5,137.81,NA,NA,87.43,115.39,NA
"PLA-057xTOM-0003","PLA-057","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,3,136.17,NA,NA,91.57,120.36,NA
"PLA-008xTOM-0003","PLA-008","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,12,140.23,NA,NA,92.14,126.71,NA
"PLA-012xTOM-0003","PLA-012","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,5,142.16,NA,NA,76.65,120.35,NA
"PLA-004xTOM-0003","PLA-004","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,5,140.06,NA,NA,86.17,123.41,NA
"PLA-051xTOM-0003","PLA-051","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,11,144.38,NA,NA,94.14,117.11,NA
"PLA-025xTOM-0003","PLA-025","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,5,3,134.23,NA,NA,87.11,119,NA
"PLA-056xTOM-0003","PLA-056","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,11,123.06,NA,NA,83.48,117.79,NA
"PLA-023xTOM-0003","PLA-023","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,7,117.78,NA,NA,81.37,118.1,NA
"PLA-030xTOM-0003","PLA-030","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,9,149.54,NA,NA,79.72,122.84,NA
"PLA-002xTOM-0003","PLA-002","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,3,151.81,NA,NA,96.31,117.25,NA
"PLB-006xTOM-0003","PLB-006","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,8,113.87,NA,NA,71,117.82,NA
"PLB-026xTOM-0003","PLB-026","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,2,3,130.44,NA,NA,82.52,123.45,NA
"PLB-025xTOM-0003","PLB-025","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,8,121.57,NA,NA,94.74,117.64,NA
"PLB-045xTOM-0003","PLB-045","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,3,10,134.88,NA,NA,78.34,118.94,NA
"PLB-030xTOM-0003","PLB-030","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,2,122.51,NA,NA,88.56,119.83,NA
"PLB-052xTOM-0003","PLB-052","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,6,129.92,NA,NA,79.96,118.56,NA
"PLB-047xTOM-0003","PLB-047","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,7,127.97,NA,NA,94.26,118.35,NA
"PLB-029xTOM-0003","PLB-029","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,9,128.9,NA,NA,101.51,114.97,NA
"PLB-053xTOM-0003","PLB-053","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,12,126.24,NA,NA,89.96,115.81,NA
"PLB-033xTOM-0003","PLB-033","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,4,10,127.89,NA,NA,84.64,119.89,NA
"PLB-022xTOM-0003","PLB-022","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,8,11,129.19,NA,NA,76.44,119.87,NA
"PLB-008xTOM-0003","PLB-008","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,12,136.76,NA,NA,91.03,117.02,NA
"PLB-014xTOM-0003","PLB-014","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,10,11,121.61,NA,NA,79.55,116.32,NA
"PLB-055xTOM-0003","PLB-055","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,1,138.18,NA,NA,77.02,121.1,NA
"PLB-036xTOM-0003","PLB-036","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,2,130.85,NA,NA,86.48,116.43,NA
"PLB-048xTOM-0003","PLB-048","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,2,141.55,NA,NA,92.58,117.52,NA
"PLB-032xTOM-0003","PLB-032","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,3,115.25,NA,NA,89.35,116.73,NA
"PLB-027xTOM-0003","PLB-027","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,7,119.99,NA,NA,82.7,115.68,NA
"PLB-049xTOM-0003","PLB-049","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,7,9,122.14,NA,NA,84.99,113.76,NA
"PLB-024xTOM-0003","PLB-024","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,1,6,124.16,NA,NA,82.22,114.71,NA
"PLB-019xTOM-0003","PLB-019","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,12,11,142.03,NA,NA,76.72,118.26,NA
"PLB-017xTOM-0003","PLB-017","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,9,8,121.67,NA,NA,80.26,121.11,NA
"PLB-034xTOM-0003","PLB-034","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,11,8,115.28,NA,NA,81.02,125.85,NA
"PLB-002xTOM-0003","PLB-002","TOM-0003","CENTRAL-2024-L1","CENTRAL-2024-L1-B1",1,6,9,112.17,NA,NA,87.4,116,NA
