"genotype","env","block","rep","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"CHK-01","CA-2024-L1","CA-2024-L1-B2",2,110.18,3.99,49.43,67.11,112.66,18.93
"CHK-02","CA-2024-L1","CA-2024-L1-B2",2,68.53,4.75,57.77,73.31,122.25,17.54
"CHK-03","CA-2024-L1","CA-2024-L1-B2",2,83.12,3.95,38.84,72.43,120.05,16.76
"CHK-04","CA-2024-L1","CA-2024-L1-B2",2,104.79,3.62,34.66,76.66,115.67,19.47
"CHK-05","CA-2024-L1","CA-2024-L1-B2",2,72.7,4.53,41.98,78.32,123.15,23.77
"CHK-06","CA-2024-L1","CA-2024-L1-B2",2,80.63,3.47,51.34,85.77,118.78,21.88
"TOM-0064","CA-2024-L1","CA-2024-L1-B3",3,81.09,4.36,52.49,54.89,117.4,25.57
"TOM-0148","CA-2024-L1","CA-2024-L1-B3",3,98.54,5.57,50.02,75.93,120.68,16.77
"TOM-0207","CA-2024-L1","CA-2024-L1-B3",3,90.85,4.36,28.51,85.94,118.51,14.3
"TOM-0081","CA-2024-L1","CA-2024-L1-B3",3,83.07,4.83,45.96,71.63,115.14,18.49
"TOM-0200","CA-2024-L1","CA-2024-L1-B3",3,104.15,5.16,50.42,60.61,110.64,24.95
"TOM-0205","CA-2024-L1","CA-2024-L1-B3",3,87.71,5.3,49.28,65.9,110.41,23.18
"TOM-0125","CA-2024-L1","CA-2024-L1-B3",3,98.7,4.6,42.46,89.58,111.47,22.82
"TOM-0158","CA-2024-L1","CA-2024-L1-B3",3,64.85,4.58,44.13,65.6,109.84,23.16
"TOM-0002","CA-2024-L1","CA-2024-L1-B3",3,107.32,3.75,44.65,63.92,114.11,19.21
"TOM-0156","CA-2024-L1","CA-2024-L1-B3",3,89.46,4.7,37.41,55.29,113.58,25.26
"TOM-0154","CA-2024-L1","CA-2024-L1-B3",3,105.85,3.55,41.81,77.2,113.38,18.01
"TOM-0036","CA-2024-L1","CA-2024-L1-B3",3,79.13,4.31,34.49,70.42,111.15,18.28
"TOM-0105","CA-2024-L1","CA-2024-L1-B3",3,82.6,4.35,43.88,68.6,111.62,25.9
"CHK-01","CA-2024-L1","CA-2024-L1-B3",3,109.99,4.28,46.28,77.09,116.73,17.61
"CHK-02","CA-2024-L1","CA-2024-L1-B3",3,78.8,4.73,45.59,82.89,124.41,20.08
"CHK-03","CA-2024-L1","CA-2024-L1-B3",3,73.63,3.66,39.57,62.87,111.42,15.75
"CHK-04","CA-2024-L1","CA-2024-L1-B3",3,106.52,3.51,39.1,71.86,115.44,19.44
"CHK-05","CA-2024-L1","CA-2024-L1-B3",3,76.65,4.33,58.17,65.46,118.41,25.63
"CHK-06","CA-2024-L1","CA-2024-L1-B3",3,86.12,4.25,45.18,83.46,116.55,25.5
"TOM-0064","CA-2024-L2","CA-2024-L2-B1",1,79.79,6.11,39.7,53.07,113.07,27.3
"TOM-0148","CA-2024-L2","CA-2024-L2-B1",1,63.15,6.78,56.55,56.46,119.85,18.35
"TOM-0207","CA-2024-L2","CA-2024-L2-B1",1,90.08,5.83,31.42,74.45,112.25,17.98
"TOM-0081","CA-2024-L2","CA-2024-L2-B1",1,80.43,6.61,48.14,58.52,111.12,22.21
"TOM-0200","CA-2024-L2","CA-2024-L2-B1",1,86.7,6.29,44.56,64.54,112.58,24.26
"TOM-0205","CA-2024-L2","CA-2024-L2-B1",1,82.22,5.99,49.35,66.74,104.92,21.71
"TOM-0125","CA-2024-L2","CA-2024-L2-B1",1,101.63,5.27,42.66,80.17,105.64,22.63
"TOM-0158","CA-2024-L2","CA-2024-L2-B1",1,81.5,5.91,56.47,50.17,111.9,25.59
"TOM-0002","CA-2024-L2","CA-2024-L2-B1",1,83.64,5.94,50.88,57.95,112.11,21.03
"TOM-0156","CA-2024-L2","CA-2024-L2-B1",1,79.43,6.38,52.64,68.04,112.71,25.81
"TOM-0154","CA-2024-L2","CA-2024-L2-B1",1,107.28,5.67,49.58,83.3,110.22,18.23
"TOM-0036","CA-2024-L2","CA-2024-L2-B1",1,86.53,6.54,51.05,70.9,109.33,18.81
"TOM-0105","CA-2024-L2","CA-2024-L2-B1",1,76.94,5.61,44.05,65.06,106.73,22.69
"CHK-01","CA-2024-L2","CA-2024-L2-B1",1,94.22,5.67,50.56,58.15,116.09,19.66
"CHK-02","CA-2024-L2","CA-2024-L2-B1",1,81.6,5.92,45.72,68.77,125.04,21.15
"CHK-03","CA-2024-L2","CA-2024-L2-B1",1,64.4,6.48,46.8,67.32,114.86,15.81
"CHK-04","CA-2024-L2","CA-2024-L2-B1",1,88.04,5.26,42.08,68.39,121.74,21.7
"CHK-05","CA-2024-L2","CA-2024-L2-B1",1,65.69,5.24,40.71,58.56,117.51,20.38
"CHK-06","CA-2024-L2","CA-2024-L2-B1",1,52.69,5.25,56.72,79.42,116.91,24.16
"TOM-0064","CA-2024-L2","CA-2024-L2-B2",2,79.43,6.5,50.89,52.43,111.83,21.32
"TOM-0148","CA-2024-L2","CA-2024-L2-B2",2,90.61,5.7,43.82,52.17,114.3,20.09
"TOM-0207","CA-2024-L2","CA-2024-L2-B2",2,86.63,5.68,26.46,74.5,109.64,19.76
"TOM-0081","CA-2024-L2","CA-2024-L2-B2",2,81.33,6.37,30.85,66.18,112.32,19.54
"TOM-0200","CA-2024-L2","CA-2024-L2-B2",2,92.27,5.3,45.79,73.94,106.98,25.09
"TOM-0205","CA-2024-L2","CA-2024-L2-B2",2,66.31,6.96,46.47,67.5,104.01,24.85
"TOM-0125","CA-2024-L2","CA-2024-L2-B2",2,84.98,5.67,45.08,70.99,104.33,23.41
"TOM-0158","CA-2024-L2","CA-2024-L2-B2",2,64.12,5.34,41.47,56.6,106.63,23.88
"TOM-0002","CA-2024-L2","CA-2024-L2-B2",2,90.41,5.63,44.83,57.66,103.64,20.26
"TOM-0156","CA-2024-L2","CA-2024-L2-B2",2,78.33,6.14,37.51,61.37,111.87,24.72
"TOM-0154","CA-2024-L2","CA-2024-L2-B2",2,78.61,4.53,51.35,65.78,107.28,17.8
"TOM-0036","CA-2024-L2","CA-2024-L2-B2",2,60.57,4.75,33.31,77.89,114.51,18.38
"TOM-0105","CA-2024-L2","CA-2024-L2-B2",2,71.3,5.96,48.83,65.3,102.79,25.98
"CHK-01","CA-2024-L2","CA-2024-L2-B2",2,78.28,5.33,43,65.2,114.78,22.56
"CHK-02","CA-2024-L2","CA-2024-L2-B2",2,62.6,5.47,42.74,67.39,118.98,21.19
"CHK-03","CA-2024-L2","CA-2024-L2-B2",2,63.67,4.94,38.93,53.57,107.59,20.2
"CHK-04","CA-2024-L2","CA-2024-L2-B2",2,80.26,6.05,33.63,68.1,116.82,22.68
"CHK-05","CA-2024-L2","CA-2024-L2-B2",2,68.18,5.33,49.45,66.03,120.99,23.08
"CHK-06","CA-2024-L2","CA-2024-L2-B2",2,56.91,5.53,44.36,71.55,110.84,28.07
"TOM-0064","CA-2024-L2","CA-2024-L2-B3",3,92.38,6.92,46.92,50.55,107.82,27.82
"TOM-0148","CA-2024-L2","CA-2024-L2-B3",3,80.43,6.5,33.01,65.15,115.41,21.02
"TOM-0207","CA-2024-L2","CA-2024-L2-B3",3,91.53,5.75,23.18,71.7,107.1,21.64
"TOM-0081","CA-2024-L2","CA-2024-L2-B3",3,77.82,5.48,38.93,54.71,116.29,22.18
"TOM-0200","CA-2024-L2","CA-2024-L2-B3",3,71.56,5.77,36.32,57.62,104.49,25.91
"TOM-0205","CA-2024-L2","CA-2024-L2-B3",3,77.67,6.55,46.5,62.07,103.46,21.44
"TOM-0125","CA-2024-L2","CA-2024-L2-B3",3,89.35,5.23,39.97,76.14,107.32,21.64
"TOM-0158","CA-2024-L2","CA-2024-L2-B3",3,76.72,6.3,48.16,66.74,104.67,25.16
"TOM-0002","CA-2024-L2","CA-2024-L2-B3",3,93.58,5.42,44.94,64.35,111.66,21.46
"TOM-0156","CA-2024-L2","CA-2024-L2-B3",3,95.87,6.3,36.68,63.5,111.17,22.41
"TOM-0154","CA-2024-L2","CA-2024-L2-B3",3,85.57,5.26,48.07,70.44,108.04,20
"TOM-0036","CA-2024-L2","CA-2024-L2-B3",3,75.79,5.42,29.44,75.59,104.66,20.5
"TOM-0105","CA-2024-L2","CA-2024-L2-B3",3,86.97,6.08,45.27,57.21,101.97,25.32
"CHK-01","CA-2024-L2","CA-2024-L2-B3",3,99.19,5.69,38.41,67.33,116.77,19.99
"CHK-02","CA-2024-L2","CA-2024-L2-B3",3,69.8,5.97,52.88,71.32,119.85,22.71
"CHK-03","CA-2024-L2","CA-2024-L2-B3",3,69.85,5.08,32.79,72.51,107.97,18.96
"CHK-04","CA-2024-L2","CA-2024-L2-B3",3,90.49,5.99,43.02,58.42,118.99,19.43
"CHK-05","CA-2024-L2","CA-2024-L2-B3",3,62.85,5.25,51.49,57.91,112.77,25.42
"CHK-06","CA-2024-L2","CA-2024-L2-B3",3,85.39,5.39,45.22,77.61,109.31,26.35
"TOM-0064","CA-2024-L3","CA-2024-L3-B1",1,86.34,6.16,37.59,56.38,106.85,25.34
"TOM-0148","CA-2024-L3","CA-2024-L3-B1",1,76.94,5.63,36.94,48.59,112.62,18.44
"TOM-0207","CA-2024-L3","CA-2024-L3-B1",1,93.24,5.23,18.7,82.58,112.31,14.14
"TOM-0081","CA-2024-L3","CA-2024-L3-B1",1,82.48,5.9,35.34,53.24,104.8,22.29
"TOM-0200","CA-2024-L3","CA-2024-L3-B1",1,105.82,5.72,29.76,65.59,108.81,25.03
"TOM-0205","CA-2024-L3","CA-2024-L3-B1",1,88.43,5.72,26.92,68.95,96.57,19.9
"TOM-0125","CA-2024-L3","CA-2024-L3-B1",1,103.7,5.44,34.26,73.77,106.66,24.69
"TOM-0158","CA-2024-L3","CA-2024-L3-B1",1,90.38,5.77,48.56,64.66,110.37,23.17
"TOM-0002","CA-2024-L3","CA-2024-L3-B1",1,90.38,4.96,27.05,54.39,111.43,18.87
"TOM-0156","CA-2024-L3","CA-2024-L3-B1",1,91.73,5.38,41.47,60.7,107.44,24.57
"TOM-0154","CA-2024-L3","CA-2024-L3-B1",1,90.57,5.49,32.88,69.08,109.45,18.52
"TOM-0036","CA-2024-L3","CA-2024-L3-B1",1,82.19,6.53,29.84,75.16,104.5,14.51
"TOM-0105","CA-2024-L3","CA-2024-L3-B1",1,74.7,5.7,39.18,67.9,105.25,17.96
"CHK-01","CA-2024-L3","CA-2024-L3-B1",1,87.42,5.44,38.64,62.72,112.92,17.07
"CHK-02","CA-2024-L3","CA-2024-L3-B1",1,73.44,5.56,40.14,59.35,114.97,14.19
"CHK-03","CA-2024-L3","CA-2024-L3-B1",1,72.71,5.16,24.09,65.83,109.92,15.94
"CHK-04","CA-2024-L3","CA-2024-L3-B1",1,107.19,4.53,23.36,69.15,111.07,17.26
"CHK-05","CA-2024-L3","CA-2024-L3-B1",1,86.26,5.72,32.69,62.99,114.22,23.99
"CHK-06","CA-2024-L3","CA-2024-L3-B1",1,87,5.11,41.78,66.2,112.38,22.66
"TOM-0064","CA-2024-L3","CA-2024-L3-B2",2,100.52,6.42,39.05,45.52,114.59,22.77
"TOM-0148","CA-2024-L3","CA-2024-L3-B2",2,77.11,6.63,34.74,53.86,111.54,22.43
"TOM-0207","CA-2024-L3","CA-2024-L3-B2",2,101.2,5.59,27.01,70.87,115.9,18.01
"TOM-0081","CA-2024-L3","CA-2024-L3-B2",2,94.06,6.82,33.86,53.8,110.68,22.55
"TOM-0200","CA-2024-L3","CA-2024-L3-B2",2,61.51,5.19,39.56,51.78,113.73,23.69
"TOM-0205","CA-2024-L3","CA-2024-L3-B2",2,107.24,6.36,31.36,62.03,108.1,22.15
"TOM-0125","CA-2024-L3","CA-2024-L3-B2",2,99.13,6.18,31.68,73.09,107.19,21.44
"TOM-0158","CA-2024-L3","CA-2024-L3-B2",2,102.32,6.32,45.02,60.91,104.08,26.75
"TOM-0002","CA-2024-L3","CA-2024-L3-B2",2,106.15,5.67,43.51,63.65,113.5,26.3
"TOM-0156","CA-2024-L3","CA-2024-L3-B2",2,85.22,5.65,33.54,58.32,116.62,29.55
"TOM-0154","CA-2024-L3","CA-2024-L3-B2",2,113.5,3.98,37.33,55.54,109.74,18.06
"TOM-0036","CA-2024-L3","CA-2024-L3-B2",2,105.33,5.97,32.6,72.03,108.47,24.71
"TOM-0105","CA-2024-L3","CA-2024-L3-B2",2,81.58,5.44,34.92,52.16,108.7,26.22
"CHK-01","CA-2024-L3","CA-2024-L3-B2",2,97.5,5.26,40.96,59.23,113.87,20.38
"CHK-02","CA-2024-L3","CA-2024-L3-B2",2,64.39,6.45,43.68,68.04,117.52,24.12
"CHK-03","CA-2024-L3","CA-2024-L3-B2",2,60.74,5.37,37.39,60.92,111.78,14.46
"CHK-04","CA-2024-L3","CA-2024-L3-B2",2,76.31,4.91,39.77,65.98,121.1,20.59
"CHK-05","CA-2024-L3","CA-2024-L3-B2",2,76.55,5.36,30.18,58.22,116.01,18.69
"CHK-06","CA-2024-L3","CA-2024-L3-B2",2,96.89,5.44,26.72,56.27,111.49,21.54
"TOM-0064","CA-2024-L3","CA-2024-L3-B3",3,87.29,5.77,38.23,56.77,109.24,22.34
"TOM-0148","CA-2024-L3","CA-2024-L3-B3",3,85.18,6.27,31.76,58.34,109.72,18.8
"TOM-0207","CA-2024-L3","CA-2024-L3-B3",3,86.59,6.4,22.71,73.74,117.66,15.26
"TOM-0081","CA-2024-L3","CA-2024-L3-B3",3,81.59,5.44,39.18,53.51,110.63,18.49
"TOM-0200","CA-2024-L3","CA-2024-L3-B3",3,76.48,5.88,37.28,55.14,109.86,20.74
"TOM-0205","CA-2024-L3","CA-2024-L3-B3",3,63.81,5.99,38.1,66.85,104.54,19.18
"TOM-0125","CA-2024-L3","CA-2024-L3-B3",3,83.89,5.09,34.44,73.21,102.41,21.55
"TOM-0158","CA-2024-L3","CA-2024-L3-B3",3,80.76,5.57,40.92,54.43,108.27,22.55
"TOM-0002","CA-2024-L3","CA-2024-L3-B3",3,87.97,5.49,33.26,59.25,111.06,17.82
"TOM-0156","CA-2024-L3","CA-2024-L3-B3",3,76.2,5.41,43.89,57.34,104.08,23.09
"TOM-0154","CA-2024-L3","CA-2024-L3-B3",3,94.48,5.09,42.53,53.22,106.41,18.19
"TOM-0036","CA-2024-L3","CA-2024-L3-B3",3,69.47,5.77,40.67,64.65,111.73,20.38
"TOM-0105","CA-2024-L3","CA-2024-L3-B3",3,95.91,5.62,45.88,64.18,105.76,22.11
"CHK-01","CA-2024-L3","CA-2024-L3-B3",3,87.55,5.06,40.42,63.9,111.56,16.55
"CHK-02","CA-2024-L3","CA-2024-L3-B3",3,66.31,5.93,34.95,75.27,119.18,21.76
"CHK-03","CA-2024-L3","CA-2024-L3-B3",3,81.31,5.14,29.13,67.21,106.8,19.75
"CHK-04","CA-2024-L3","CA-2024-L3-B3",3,96.78,5.67,37.26,61.77,119.48,16.83
"CHK-05","CA-2024-L3","CA-2024-L3-B3",3,69.28,5.34,30.96,62.09,116.81,20.74
"CHK-06","CA-2024-L3","CA-2024-L3-B3",3,77.87,5.44,40.21,68.28,115.9,22.39
"TOM-0064","CA-2024-L4","CA-2024-L4-B1",1,71.36,6.53,46.73,60.65,108.79,20.39
"TOM-0148","CA-2024-L4","CA-2024-L4-B1",1,99.72,5.89,39.13,60.68,113.7,12.84
"TOM-0207","CA-2024-L4","CA-2024-L4-B1",1,79.24,5.82,29.36,74.11,110.64,13.3
"TOM-0081","CA-2024-L4","CA-2024-L4-B1",1,93.4,6.02,37.05,55.68,110.43,16.32
"TOM-0200","CA-2024-L4","CA-2024-L4-B1",1,79.45,5.51,34.76,60.21,109.09,20.19
"TOM-0205","CA-2024-L4","CA-2024-L4-B1",1,75.49,6.01,35.09,74.48,96.98,16.86
"TOM-0125","CA-2024-L4","CA-2024-L4-B1",1,87.93,5.82,48.92,81.98,99.68,18.46
"TOM-0158","CA-2024-L4","CA-2024-L4-B1",1,69.35,5.44,51.3,68.86,109.96,22.94
"TOM-0002","CA-2024-L4","CA-2024-L4-B1",1,75.69,5.24,49.65,70.48,106.5,15.28
"TOM-0156","CA-2024-L4","CA-2024-L4-B1",1,70.42,4.57,51.39,70.85,103.52,22.59
"TOM-0154","CA-2024-L4","CA-2024-L4-B1",1,88.16,4.88,34.01,73.34,106.44,14.72
"TOM-0036","CA-2024-L4","CA-2024-L4-B1",1,71.45,5.96,38.99,67.08,106.55,12.58
"TOM-0105","CA-2024-L4","CA-2024-L4-B1",1,76.73,5.89,39.76,71.35,106.44,17.03
"CHK-01","CA-2024-L4","CA-2024-L4-B1",1,89.69,6.61,47.71,57.17,107.97,19.12
"CHK-02","CA-2024-L4","CA-2024-L4-B1",1,55.62,5.28,38.47,68.69,113.03,17.94
"CHK-03","CA-2024-L4","CA-2024-L4-B1",1,69.46,4.58,38.26,71.28,102.21,13.67
"CHK-04","CA-2024-L4","CA-2024-L4-B1",1,61.29,5.32,27.36,65.72,109.44,16.6
"CHK-05","CA-2024-L4","CA-2024-L4-B1",1,50.05,5.67,39.09,67.62,107.98,17.73
"CHK-06","CA-2024-L4","CA-2024-L4-B1",1,77.16,4.57,49.93,78.76,110.63,21.37
"TOM-0064","CA-2024-L4","CA-2024-L4-B2",2,95.76,5.12,45.47,61.07,106.12,20.48
"TOM-0148","CA-2024-L4","CA-2024-L4-B2",2,86.62,6.82,45.62,81.69,111.16,14.74
"TOM-0207","CA-2024-L4","CA-2024-L4-B2",2,87.88,6.84,20.56,78.77,109.26,13.58
"TOM-0081","CA-2024-L4","CA-2024-L4-B2",2,74.43,6.2,35.19,70.8,105.23,14.28
"TOM-0200","CA-2024-L4","CA-2024-L4-B2",2,81.78,5.43,45.35,68.58,104.7,21.41
"TOM-0205","CA-2024-L4","CA-2024-L4-B2",2,77.11,6.7,38.53,74.61,96.69,13.79
"TOM-0125","CA-2024-L4","CA-2024-L4-B2",2,90.68,4.92,37.3,94.38,94.21,18.31
"TOM-0158","CA-2024-L4","CA-2024-L4-B2",2,73.37,6.34,51.16,61.82,102.93,21.11
"TOM-0002","CA-2024-L4","CA-2024-L4-B2",2,94.93,5.6,38.69,70.28,102.54,17.34
"TOM-0156","CA-2024-L4","CA-2024-L4-B2",2,81.23,6.27,44.58,70.65,106.58,23.56
"TOM-0154","CA-2024-L4","CA-2024-L4-B2",2,96.82,5.27,29.26,81.21,100.32,15.28
"TOM-0036","CA-2024-L4","CA-2024-L4-B2",2,62.61,5.52,30.72,88.62,98.53,13.22
"TOM-0105","CA-2024-L4","CA-2024-L4-B2",2,73.42,5.2,46.82,70.38,102.8,17.92
"CHK-01","CA-2024-L4","CA-2024-L4-B2",2,107.52,5.38,38.56,79.4,112.76,17.75
"CHK-02","CA-2024-L4","CA-2024-L4-B2",2,60.48,5.89,45.46,91.06,106.32,19.41
"CHK-03","CA-2024-L4","CA-2024-L4-B2",2,68.87,4.94,34.16,89.05,105.52,12.58
"CHK-04","CA-2024-L4","CA-2024-L4-B2",2,87.04,4.88,36.74,79.79,107.39,15.33
"CHK-05","CA-2024-L4","CA-2024-L4-B2",2,65.05,5.18,35.05,64.11,108.53,17.6
"CHK-06","CA-2024-L4","CA-2024-L4-B2",2,59.85,5,39.17,87.33,103.77,18.18
"TOM-0064","CA-2024-L4","CA-2024-L4-B3",3,84.31,6.52,37.81,53.12,97.18,22.16
"TOM-0148","CA-2024-L4","CA-2024-L4-B3",3,87.1,6.12,49.41,63.8,107.28,11.66
"TOM-0207","CA-2024-L4","CA-2024-L4-B3",3,96.72,6.1,38.16,83.86,109.6,9.5
"TOM-0081","CA-2024-L4","CA-2024-L4-B3",3,87.9,6.7,30.74,67.37,99.29,14.11
"TOM-0200","CA-2024-L4","CA-2024-L4-B3",3,85.19,5.87,37.16,66.34,102.81,20.92
"TOM-0205","CA-2024-L4","CA-2024-L4-B3",3,84.72,6.15,40.92,77.53,94.56,17.54
"TOM-0125","CA-2024-L4","CA-2024-L4-B3",3,101.78,4.44,31.01,81.61,97.19,15.81
"TOM-0158","CA-2024-L4","CA-2024-L4-B3",3,98.65,5.66,46.75,54.35,98.52,22.11
"TOM-0002","CA-2024-L4","CA-2024-L4-B3",3,100.74,5.54,38.46,74.19,106.5,17.99
"TOM-0156","CA-2024-L4","CA-2024-L4-B3",3,87.89,5.59,46.32,66.71,104.6,20.45
"TOM-0154","CA-2024-L4","CA-2024-L4-B3",3,91.64,5.38,31.48,77.68,105.81,18.09
"TOM-0036","CA-2024-L4","CA-2024-L4-B3",3,69.53,4.94,34.29,71.22,100.41,16.33
"TOM-0105","CA-2024-L4","CA-2024-L4-B3",3,81.47,5.19,42.69,76.68,94.18,17.32
"CHK-01","CA-2024-L4","CA-2024-L4-B3",3,79.93,5.77,39.81,75.16,108.72,17.25
"CHK-02","CA-2024-L4","CA-2024-L4-B3",3,73.48,5.21,35.42,74.77,112.33,17.94
"CHK-03","CA-2024-L4","CA-2024-L4-B3",3,61.33,4.93,29.25,81.25,104.94,11.63
"CHK-04","CA-2024-L4","CA-2024-L4-B3",3,88.72,5.86,40.25,78.5,112.7,16.31
"CHK-05","CA-2024-L4","CA-2024-L4-B3",3,65.64,5.44,39.66,59.93,108.39,18.86
"CHK-06","CA-2024-L4","CA-2024-L4-B3",3,56.68,5.14,39.95,73.7,111.91,18.82
"TOM-0064","CA-2024-L5","CA-2024-L5-B1",1,84.38,6,42.93,58.04,118.52,24.92
"TOM-0148","CA-2024-L5","CA-2024-L5-B1",1,65.25,5.37,38.54,61.25,117.9,16.84
"TOM-0207","CA-2024-L5","CA-2024-L5-B1",1,94.91,5.97,26.23,83.87,118.15,12.72
"TOM-0081","CA-2024-L5","CA-2024-L5-B1",1,90.82,4.59,41.27,65.2,113.88,17.83
"TOM-0200","CA-2024-L5","CA-2024-L5-B1",1,89.11,4.56,47.56,66.09,116,28.91
"TOM-0205","CA-2024-L5","CA-2024-L5-B1",1,71.48,4.65,44.92,67.44,108.11,19.33
"TOM-0125","CA-2024-L5","CA-2024-L5-B1",1,82.23,4.78,37.64,78.84,108.07,21
"TOM-0158","CA-2024-L5","CA-2024-L5-B1",1,76.57,4.68,56.89,56.65,116.11,21.32
"TOM-0002","CA-2024-L5","CA-2024-L5-B1",1,75.54,4.33,40.68,72.79,115.06,17.03
"TOM-0156","CA-2024-L5","CA-2024-L5-B1",1,68.72,4.09,49.24,56.54,116.74,22.69
"TOM-0154","CA-2024-L5","CA-2024-L5-B1",1,101.19,3.3,39.94,74.75,118.27,19.35
"TOM-0036","CA-2024-L5","CA-2024-L5-B1",1,73.64,5.05,30.01,70.15,110.27,18.41
"TOM-0105","CA-2024-L5","CA-2024-L5-B1",1,57.56,4.3,37.59,68.84,113.75,23.91
"CHK-01","CA-2024-L5","CA-2024-L5-B1",1,72.04,4.37,47.21,71.96,117.23,22.18
"CHK-02","CA-2024-L5","CA-2024-L5-B1",1,71.15,4.21,38.82,73.9,127.53,25.92
"CHK-03","CA-2024-L5","CA-2024-L5-B1",1,44.35,4.37,31.55,70.24,118.19,16.31
"CHK-04","CA-2024-L5","CA-2024-L5-B1",1,103.31,4.19,40.33,72.63,115.52,23.38
"CHK-05","CA-2024-L5","CA-2024-L5-B1",1,77.23,3.79,40.96,65.75,124.04,20.85
"CHK-06","CA-2024-L5","CA-2024-L5-B1",1,74.26,3.88,41.94,60.76,118.87,23.56
"TOM-0064","CA-2024-L5","CA-2024-L5-B2",2,89.76,4.96,42.52,59.54,116.54,24.04
"TOM-0148","CA-2024-L5","CA-2024-L5-B2",2,82.9,4.64,32.09,65.09,122.58,18.65
"TOM-0207","CA-2024-L5","CA-2024-L5-B2",2,95.88,4.84,35.55,70.36,118.62,16.58
"TOM-0081","CA-2024-L5","CA-2024-L5-B2",2,89.97,4.77,34.46,76.51,114.76,17.68
"TOM-0200","CA-2024-L5","CA-2024-L5-B2",2,67.42,4.88,37.65,57.85,113.59,20.11
"TOM-0205","CA-2024-L5","CA-2024-L5-B2",2,80.01,5.25,41.37,62.96,108.52,23.16
"TOM-0125","CA-2024-L5","CA-2024-L5-B2",2,73.52,4.84,43.27,79.49,113.05,19.09
