"genotype","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"TOM-0032","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,2,1,85.51,4.73,42.31,71.5,117.92,20.42
"TOM-0100","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,4,3,58.54,5.39,42.85,73.46,117.58,24.87
"CHK-01","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,2,4,61.7,5.83,40.16,54.45,124.02,22.1
"CHK-02","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,3,5,61.76,5.99,24.12,60.82,117.47,22.3
"CHK-03","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,1,1,64.6,5.67,26.6,80.56,119.43,17.72
"CHK-04","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,1,2,78.86,4.58,20.89,43.74,115.11,17.03
"CHK-05","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,4,2,59.31,5.46,30.98,73.02,118.28,18.43
"CHK-06","EASTFARM-2025-L2","EASTFARM-2025-L2-B1",1,3,4,66.59,4.43,25.91,67.01,121.23,21.12
"TOM-0047","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,4,4,79.54,4.63,38.42,91.91,112.33,14.7
"TOM-0125","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,2,5,84.76,6.13,35.18,73.73,109.87,17.2
"TOM-0032","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,3,2,85.17,4.92,51.95,72.35,115.72,17.76
"TOM-0100","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,4,5,84.53,6.01,42.25,76.17,117.96,19.9
"CHK-01","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,1,4,57.98,7.36,30.09,58.26,117.19,18.42
"CHK-02","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,4,1,51.53,5.72,35.77,71.24,115.86,19.7
"CHK-03","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,3,3,53.23,5.62,22.25,68.06,114.91,12.71
"CHK-04","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,3,1,74.72,5.2,23.52,57.19,115.07,17.59
"CHK-05","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,2,3,66.4,4.76,28.09,68.53,112.87,18.89
"CHK-06","EASTFARM-2025-L2","EASTFARM-2025-L2-B2",2,1,5,75.53,4.99,28.55,68.66,116.91,19.29
"TOM-0047","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,4,3,70.64,4.42,33.94,94.15,110.84,11.67
"TOM-0125","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,1,1,78.09,5,34.98,76.19,108.82,13.57
"TOM-0032","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,3,5,73.79,4.07,43.58,81.16,111.41,13.95
"TOM-0100","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,2,1,68.87,5.72,49.27,76.33,119.51,20.07
"CHK-01","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,1,2,79.68,5.74,41.25,61.26,116.17,17.99
"CHK-02","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,3,3,64.8,4.65,37.37,67.03,118.67,17.06
"CHK-03","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,4,5,68.08,4.34,31.19,72.34,117.11,7.83
"CHK-04","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,4,4,55.82,4.48,29.97,68.4,116.18,11.86
"CHK-05","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,4,1,75.12,4.91,27.98,80.4,114.12,16.69
"CHK-06","EASTFARM-2025-L3","EASTFARM-2025-L3-B1",1,2,3,63.58,3.69,35.88,77.23,113.36,11.97
"TOM-0047","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,2,2,81.59,4.23,34.53,95.82,110.1,11.14
"TOM-0125","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,2,5,82.45,4.42,32.01,81.21,106.22,17.22
"TOM-0032","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,3,2,74.36,3.9,38.4,82.73,110.29,15.69
"TOM-0100","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,1,3,81.81,5.63,43.6,67.66,115.34,21.67
"CHK-01","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,1,4,62.93,5.48,46.76,53.79,113.49,16.71
"CHK-02","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,1,5,65.58,3.67,39.43,66.84,114.3,17.27
"CHK-03","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,3,1,79.3,3.85,33.21,70.52,124.59,13.16
"CHK-04","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,2,4,77.14,3.42,36.46,58.18,114.67,10.34
"CHK-05","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,3,4,50.78,3.77,26.12,69.72,115.17,12.59
"CHK-06","EASTFARM-2025-L3","EASTFARM-2025-L3-B2",2,4,2,68.55,3.66,26.04,82.22,110.6,17.58
"TOM-0047","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,1,4,100.81,3.89,36.75,77.07,98.65,13.61
"TOM-0125","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,4,3,87.76,4.07,49.55,68.68,97.93,16.99
"TOM-0032","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,4,4,94.3,4.67,45.82,78.96,103.87,14.96
"TOM-0100","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,1,2,69.34,5.92,59.96,61.99,108.75,20.44
"CHK-01","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,3,1,82.3,5.32,44.39,58.56,108.41,15.43
"CHK-02","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,3,3,74.35,4.61,42.76,69.61,102.58,16.35
"CHK-03","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,4,5,71.34,5.04,31.89,65.31,108.8,13.44
"CHK-04","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,1,5,69.81,3.96,38.36,57.03,104.61,16.4
"CHK-05","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,2,3,83.49,4.84,29.73,65.21,107.06,15.09
"CHK-06","EASTFARM-2025-L4","EASTFARM-2025-L4-B1",1,1,1,53.26,4.25,26.04,70.53,105.99,15.32
"TOM-0047","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,3,4,85.41,4.49,32.4,87.73,98.56,12.55
"TOM-0125","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,4,1,116.48,5.7,46.49,73.57,105.31,17.85
"TOM-0032","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,4,2,111.01,4.08,52.26,67.53,106.55,19.71
"TOM-0100","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,3,5,89.59,6.57,54.41,72.77,105.14,17.51
"CHK-01","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,1,3,87.94,5.92,35.88,47.17,106.27,19.54
"CHK-02","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,2,2,83.56,4.85,37.62,60.81,111,14.88
"CHK-03","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,3,2,65.06,4.9,39.78,69.81,107.54,11.38
"CHK-04","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,2,4,83.89,4.45,38.89,45.96,108.2,15.56
"CHK-05","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,2,5,95.03,4.92,36.89,64.78,106.89,15.72
"CHK-06","EASTFARM-2025-L4","EASTFARM-2025-L4-B2",2,2,1,72.55,3.66,41.99,62.42,109.16,16.87
"TOM-0047","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,1,3,82.62,4.13,44.38,98.51,108.86,22.23
"TOM-0125","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,1,1,74.07,5.8,34.7,88.32,111.52,24.76
"TOM-0032","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,1,2,97.5,5.72,42.13,82.95,112.56,23.7
"TOM-0100","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,2,1,71.26,5.54,58.72,92.49,125.31,29.47
"CHK-01","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,3,5,69.96,4.7,48.66,66.19,117.7,24.11
"CHK-02","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,3,3,71.66,4.71,54.37,71.62,115.36,21.3
"CHK-03","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,4,5,82.97,5.27,35.08,76.7,114.65,17.91
"CHK-04","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,3,2,79.45,4.73,39.53,73.72,118.6,21.74
"CHK-05","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,1,4,57.46,4.83,30.47,77.97,116.08,20.66
"CHK-06","EASTFARM-2025-L5","EASTFARM-2025-L5-B1",1,4,3,77.21,3.81,49.8,82.05,114.47,20.96
"TOM-0047","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,2,2,100.81,4.64,49.51,99.02,114.54,19.01
"TOM-0125","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,2,4,88.84,5,35.01,84.49,106.01,23.83
"TOM-0032","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,4,4,73.73,3.74,57.99,81.37,112.71,18.56
"TOM-0100","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,4,1,81.14,5.38,53.41,77.99,118.29,29.88
"CHK-01","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,4,2,79.6,5.9,52.09,68.95,121.03,23.71
"CHK-02","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,2,3,67.17,4.57,54.37,78.92,118.26,23.37
"CHK-03","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,1,5,84.61,5.08,29.74,72.16,118.64,16.62
"CHK-04","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,3,4,77.31,3.44,38.07,61.26,116.84,19.83
"CHK-05","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,3,1,83.25,4.62,44.85,92.31,122.83,23.75
"CHK-06","EASTFARM-2025-L5","EASTFARM-2025-L5-B2",2,2,5,54.1,3.59,44.26,86.09,120.22,22.22
"TOM-0047","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,1,3,95.86,4.13,40.76,93.24,109.05,13.7
"TOM-0125","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,2,4,107.39,4.92,45.37,88.9,107.79,22.21
"TOM-0032","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,1,4,105.83,4.29,53.35,90.64,112.19,21.85
"TOM-0100","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,3,5,98.79,5.17,50.96,85.06,121.88,25.38
"CHK-01","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,1,2,75.8,4.62,41.89,55.81,114.48,15.79
"CHK-02","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,4,2,78.4,4.72,44.58,65.27,110.17,15.42
"CHK-03","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,3,4,104.02,4.37,38.47,86.05,114.67,14.28
"CHK-04","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,2,1,94.36,3.42,30.97,60.06,109.65,11.33
"CHK-05","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,4,5,83.22,4.86,42.24,81.04,115.74,21.76
"CHK-06","EASTFARM-2025-L6","EASTFARM-2025-L6-B1",1,2,3,68.12,3.35,40.88,77.52,112.16,15.8
"TOM-0047","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,2,2,102.8,3.37,29.53,80.57,99.38,15.08
"TOM-0125","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,4,1,107.07,4.98,43.42,72.31,103.79,21.94
"TOM-0032","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,4,3,97.92,3.85,54.62,68.6,106.02,19.15
"TOM-0100","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,2,5,86.94,5.3,46.45,86.93,116.47,25.58
"CHK-01","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,3,1,83.16,4.25,42.03,58.14,109.05,22.64
"CHK-02","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,1,5,86.89,4.6,53.16,72.29,114.16,19.9
"CHK-03","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,4,4,112.44,4.53,37.03,71.54,115,15.95
"CHK-04","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,3,3,102.57,3.4,38.21,68.5,113.72,17.53
"CHK-05","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,3,2,84.01,4.23,26.74,75.64,104.96,19.39
"CHK-06","EASTFARM-2025-L6","EASTFARM-2025-L6-B2",2,1,1,82.91,3.95,41.23,75.63,111.13,18.47
"TOM-0047","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,4,2,89.81,3.73,46.86,87.47,105.17,9.14
"TOM-0125","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,2,4,100.11,5.7,32.79,72.16,111.72,22.25
"TOM-0032","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,1,1,108.67,3.92,53.09,76.23,111.56,15.57
"TOM-0100","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,4,4,89.27,4.72,61.33,70.66,121.28,24.39
"CHK-01","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,3,2,80.07,5.61,48.24,50.28,117.18,18.94
"CHK-02","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,3,3,100.86,5.07,48.16,70.66,116.9,18.97
"CHK-03","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,2,2,70.73,3.5,36.45,57.47,116.66,14.73
"CHK-04","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,1,3,104.16,4.04,38.51,52.33,110.87,14.87
"CHK-05","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,2,3,84.42,4.02,38.76,82.29,117.15,15.92
"CHK-06","EASTFARM-2025-L7","EASTFARM-2025-L7-B1",1,1,2,69.8,3.8,45.32,60.54,114.05,13.76
"TOM-0047","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,3,5,100.49,4.47,49.68,82.09,111.51,17.05
"TOM-0125","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,1,5,106.08,4.56,50,78.24,104.73,16.72
"TOM-0032","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,1,4,94.52,4.16,62.02,82.5,114.88,18.98
"TOM-0100","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,4,5,81.84,4.88,58.36,84.59,117.03,22.04
"CHK-01","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,4,3,81.17,4.26,53.3,60.38,120.28,17.98
"CHK-02","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,3,4,67.29,5.13,56.25,68.06,114.16,18.7
"CHK-03","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,2,1,94.74,3.47,45.56,65.56,121.3,12.14
"CHK-04","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,2,5,89.12,3.65,47.56,62.26,120.55,17.15
"CHK-05","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,4,1,79.66,3.9,45.58,70.74,116.31,14.02
"CHK-06","EASTFARM-2025-L7","EASTFARM-2025-L7-B2",2,3,1,61.17,3.89,41.11,61.1,117.12,15.64
"TOM-0047","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,4,4,93.21,4.34,39.55,81.24,113.3,16.63
"TOM-0125","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,2,3,95.38,4.86,37.18,84.3,114.74,15.12
"TOM-0032","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,1,1,103.02,4.81,47.19,82.76,118.52,16.95
"TOM-0100","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,3,3,86.74,5.5,44.9,75.35,121.44,18.07
"CHK-01","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,4,5,82.37,5.88,41.61,58.72,118.98,20.5
"CHK-02","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,1,5,88.74,5.35,37.95,78.63,122.81,20.63
"CHK-03","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,1,4,83.48,5.23,30.73,87.78,118.49,11.28
"CHK-04","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,4,2,105.15,4.53,33.35,61.16,114.66,15.81
"CHK-05","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,3,1,86.97,4.72,26.83,74.2,118.85,15.79
"CHK-06","EASTFARM-2025-L8","EASTFARM-2025-L8-B1",1,2,4,65.18,5.43,34.95,82.02,119.49,15.27
"TOM-0047","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,1,2,107.43,4.69,36.97,94.31,107.69,14.57
"TOM-0125","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,4,1,107.7,5.07,33.19,82.82,109.7,18.29
"TOM-0032","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,2,5,116.16,4.65,41.45,91.53,117.67,21.22
"TOM-0100","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,3,4,94.46,5.24,54.74,84.25,124.09,22.28
"CHK-01","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,3,5,77.17,6.44,44.14,71.2,123.71,26.08
"CHK-02","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,3,2,84.29,4.58,37.18,71.67,118.76,14.73
"CHK-03","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,4,3,80.88,4.15,35.06,81.72,117.44,17.25
"CHK-04","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,1,3,94.23,3.41,33.72,64.84,123.65,16.87
"CHK-05","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,2,1,85.03,5.25,26.45,84.11,118.22,20.35
"CHK-06","EASTFARM-2025-L8","EASTFARM-2025-L8-B2",2,2,2,79.73,4.35,33.96,89.16,118.47,15.17
