"genotype","parent1","parent2","env","block","rep","row","col","yield","brix","firmness","fruit_wt","maturity","shelf_life"
"PLB-030xTOM-0002","PLB-030","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,9,3,82.8,5.17,48.75,66.76,112.44,NA
"PLB-024xTOM-0002","PLB-024","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,5,4,90.63,4.69,43.71,63.62,107.8,NA
"PLB-047xTOM-0002","PLB-047","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,10,4,85.33,5.32,33.87,78.29,111.44,NA
"PLB-045xTOM-0002","PLB-045","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,12,9,108.13,6.07,53.65,83.62,117.91,NA
"PLB-026xTOM-0002","PLB-026","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,7,10,106.99,5.56,54.81,94.19,115.2,NA
"PLB-036xTOM-0002","PLB-036","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,5,15,88.81,5.87,36.55,73.98,111.68,NA
"PLB-053xTOM-0002","PLB-053","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,14,8,96.09,5.91,44.39,80.9,115.11,NA
"PLB-049xTOM-0002","PLB-049","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,7,1,87,5.6,34.43,70.21,107.49,NA
"PLB-025xTOM-0002","PLB-025","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,12,14,94.2,6.13,46.17,86.28,117.49,NA
"PLB-032xTOM-0002","PLB-032","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,4,12,90.98,6.64,45.99,73.31,112.59,NA
"PLB-027xTOM-0002","PLB-027","TOM-0002","CA-2024-L1","CA-2024-L1-B1",1,6,12,88.55,6.38,41.97,87.72,114.71,NA
"PLA-042xTOM-0003","PLA-042","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,4,8,110,5.42,51.31,84.35,116.19,NA
"PLA-030xTOM-0003","PLA-030","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,5,2,108.01,4.87,42.13,63.98,119.06,NA
"PLA-051xTOM-0003","PLA-051","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,10,14,108.96,6.54,59.84,83.75,117.96,NA
"PLA-058xTOM-0003","PLA-058","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,10,10,135.4,5.65,50.13,88.69,112.49,NA
"PLA-002xTOM-0003","PLA-002","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,14,13,115.16,5.77,56.3,79.94,113.07,NA
"PLA-055xTOM-0003","PLA-055","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,9,8,107.58,5.63,50.08,85.48,111.26,NA
"PLA-053xTOM-0003","PLA-053","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,1,12,123.07,6.37,56.99,92.36,117.11,NA
"PLA-025xTOM-0003","PLA-025","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,13,13,93.64,6.03,60.96,80.81,116.05,NA
"PLA-015xTOM-0003","PLA-015","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,10,15,90.41,5.72,50.84,88.75,112.8,NA
"PLA-043xTOM-0003","PLA-043","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,6,15,94.42,5.82,48.81,83.28,114.62,NA
"PLA-008xTOM-0003","PLA-008","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,9,5,99.95,5.5,53.33,63.42,111.57,NA
"PLA-057xTOM-0003","PLA-057","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,14,14,108.11,6.55,52.24,80.95,117.89,NA
"PLA-041xTOM-0003","PLA-041","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,11,1,81.35,5.84,56.88,77.25,105,NA
"PLA-024xTOM-0003","PLA-024","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,1,9,97.43,6.33,60.43,84.79,120.71,NA
"PLA-009xTOM-0003","PLA-009","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,5,11,117.2,5.5,50.69,92.7,125.66,NA
"PLA-023xTOM-0003","PLA-023","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,9,7,95.77,5.1,54.17,73.13,113.66,NA
"PLA-014xTOM-0003","PLA-014","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,8,15,101.65,5.81,60.12,82.21,119.15,NA
"PLA-044xTOM-0003","PLA-044","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,4,14,106.52,5.87,51.92,83.43,117.26,NA
"PLB-048xTOM-0003","PLB-048","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,11,14,108.47,5.95,53.46,86.14,115.91,NA
"PLB-029xTOM-0003","PLB-029","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,7,5,91.6,5.31,38.36,76.7,107.26,NA
"PLB-019xTOM-0003","PLB-019","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,2,4,107.07,4.84,39.21,85.31,108.49,NA
"PLB-022xTOM-0003","PLB-022","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,13,11,92.33,6.22,52.02,89.45,122.26,NA
"PLB-008xTOM-0003","PLB-008","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,2,1,67.47,5.24,45.08,81.01,115.81,NA
"PLB-052xTOM-0003","PLB-052","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,5,10,104.05,6.1,51.58,90.91,117.75,NA
"PLB-033xTOM-0003","PLB-033","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,13,5,92.93,5.38,49.7,68.37,117.85,NA
"PLB-030xTOM-0003","PLB-030","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,3,11,99.42,5.53,63.45,89.61,116.81,NA
"PLB-024xTOM-0003","PLB-024","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,11,5,85.37,5.75,38.74,77.09,107.63,NA
"PLB-047xTOM-0003","PLB-047","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,1,5,87.33,5.51,50.32,85.82,116.04,NA
"PLB-045xTOM-0003","PLB-045","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,9,9,91.35,5.2,51,83.89,121.15,NA
"PLB-026xTOM-0003","PLB-026","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,2,10,109.57,6.18,60,72.34,111.72,NA
"PLB-036xTOM-0003","PLB-036","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,12,4,89.31,5.29,41.68,71.72,114.54,NA
"PLB-053xTOM-0003","PLB-053","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,3,8,82.89,6.12,55.88,87.62,114.59,NA
"PLB-049xTOM-0003","PLB-049","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,5,1,88.62,5,38.43,79.31,109.64,NA
"PLB-025xTOM-0003","PLB-025","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,14,15,88.8,5.74,49.23,84.69,116.1,NA
"PLB-032xTOM-0003","PLB-032","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,14,4,74.56,5.3,40.46,73.26,112.48,NA
"PLB-027xTOM-0003","PLB-027","TOM-0003","CA-2024-L1","CA-2024-L1-B1",1,5,12,97.28,6.26,55.85,83.51,119.08,NA
"PLA-042xTOM-0001","PLA-042","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,4,4,99.27,5.49,37.65,82.08,111.46,NA
"PLA-030xTOM-0001","PLA-030","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,8,10,112.33,6.4,53.15,79.3,118.86,NA
"PLA-051xTOM-0001","PLA-051","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,15,103.47,5.93,45.06,86.3,112.18,NA
"PLA-058xTOM-0001","PLA-058","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,5,5,113.84,4.98,35.33,75.82,105.53,NA
"PLA-002xTOM-0001","PLA-002","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,5,100.95,5.16,43.38,79.78,111.45,NA
"PLA-055xTOM-0001","PLA-055","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,2,12,107.37,6.02,47.29,80.39,111.82,NA
"PLA-053xTOM-0001","PLA-053","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,8,104.72,6.27,44.54,89.34,111.92,NA
"PLA-025xTOM-0001","PLA-025","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,4,3,96.02,5.02,50.54,77.09,108.37,NA
"PLA-015xTOM-0001","PLA-015","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,12,111.43,6.29,50.62,90.43,114.97,NA
"PLA-043xTOM-0001","PLA-043","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,5,9,101.21,5.65,44.29,93.86,118.08,NA
"PLA-008xTOM-0001","PLA-008","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,8,1,94.96,5.17,51.49,73.2,114.84,NA
"PLA-057xTOM-0001","PLA-057","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,13,104.49,6.3,54.19,95.15,118.18,NA
"PLA-041xTOM-0001","PLA-041","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,4,15,98.08,6,40.97,77.72,109.75,NA
"PLA-024xTOM-0001","PLA-024","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,5,13,94.11,7.2,48.9,85.47,118.5,NA
"PLA-009xTOM-0001","PLA-009","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,13,4,103.62,5.79,34.39,74.08,117.45,NA
"PLA-023xTOM-0001","PLA-023","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,5,8,92.73,6,56.67,77.3,115.62,NA
"PLA-014xTOM-0001","PLA-014","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,13,15,91.46,6.48,42.09,77.25,115.14,NA
"PLA-044xTOM-0001","PLA-044","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,11,8,107.19,6.32,48.51,77.67,116.64,NA
"PLB-048xTOM-0001","PLB-048","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,7,2,87.45,5.7,43.41,75.14,106.7,NA
"PLB-029xTOM-0001","PLB-029","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,14,3,89.03,5.14,37.91,90.24,111.51,NA
"PLB-019xTOM-0001","PLB-019","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,8,9,97.71,6.11,37.31,85.04,109.27,NA
"PLB-022xTOM-0001","PLB-022","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,7,7,102.98,5.14,36.68,72.28,117.35,NA
"PLB-008xTOM-0001","PLB-008","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,10,6,70.55,5.1,46.13,81.98,109.1,NA
"PLB-052xTOM-0001","PLB-052","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,4,5,94.92,5.83,42.71,73.61,113.42,NA
"PLB-033xTOM-0001","PLB-033","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,11,4,75.09,5.39,49.07,73.24,112.12,NA
"PLB-030xTOM-0001","PLB-030","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,7,11,86.51,6.81,60.19,84.9,114.88,NA
"PLB-024xTOM-0001","PLB-024","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,7,100.89,5.16,40.09,74.07,113.69,NA
"PLB-047xTOM-0001","PLB-047","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,11,6,84.39,5.14,42.57,85.86,112.5,NA
"PLB-045xTOM-0001","PLB-045","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,13,9,105.9,5.91,55.02,78.13,122.98,NA
"PLB-026xTOM-0001","PLB-026","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,2,7,82.23,6.25,51.45,83.33,113.36,NA
"PLB-036xTOM-0001","PLB-036","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,3,3,95.61,5.69,36.32,75.15,110.03,NA
"PLB-053xTOM-0001","PLB-053","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,4,10,84.46,6.46,48.06,92.85,117.45,NA
"PLB-049xTOM-0001","PLB-049","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,13,2,89.51,5.32,38.36,81.2,109.67,NA
"PLB-025xTOM-0001","PLB-025","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,7,6,86.39,6.16,38.36,67.1,112.06,NA
"PLB-032xTOM-0001","PLB-032","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,12,3,57.79,6.02,44.43,76.12,107.12,NA
"PLB-027xTOM-0001","PLB-027","TOM-0001","CA-2024-L1","CA-2024-L1-B2",2,10,2,83.52,5,36.3,78.93,108.3,NA
"PLA-042xTOM-0002","PLA-042","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,8,2,92.37,5.33,46.43,73.36,108.87,NA
"PLA-030xTOM-0002","PLA-030","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,10,8,124.07,5.54,39.34,77.15,115.59,NA
"PLA-051xTOM-0002","PLA-051","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,8,5,88.85,4.82,37.46,71.15,111.72,NA
"PLA-058xTOM-0002","PLA-058","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,14,9,126.67,4.86,41.79,83.5,106.28,NA
"PLA-002xTOM-0002","PLA-002","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,1,8,118.97,5.54,38.28,80.67,113.81,NA
"PLA-055xTOM-0002","PLA-055","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,4,2,107.43,5.28,51.37,75.56,107.45,NA
"PLA-053xTOM-0002","PLA-053","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,2,11,109.5,6.36,45.78,80.59,116.08,NA
"PLA-025xTOM-0002","PLA-025","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,8,12,121.42,6.35,57.72,83.61,111.86,NA
"PLA-015xTOM-0002","PLA-015","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,5,6,104.62,4.87,38.89,75.62,105.1,NA
"PLA-043xTOM-0002","PLA-043","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,12,1,101.81,5.92,47.82,62.8,112.07,NA
"PLA-008xTOM-0002","PLA-008","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,12,10,112.68,5.87,55.33,68.94,123.27,NA
"PLA-057xTOM-0002","PLA-057","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,14,5,108.85,5.37,47.56,83.09,111.85,NA
"PLA-041xTOM-0002","PLA-041","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,6,8,105.66,5.6,49.48,70.92,108.2,NA
"PLA-024xTOM-0002","PLA-024","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,11,3,91.31,6.06,49.27,69.91,114.3,NA
"PLA-009xTOM-0002","PLA-009","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,3,12,110.68,5.65,49.24,74.54,117.54,NA
"PLA-023xTOM-0002","PLA-023","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,4,6,85.42,5.3,57.55,65.89,115.81,NA
"PLA-014xTOM-0002","PLA-014","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,9,14,115.07,6.1,49.32,76.55,116.97,NA
"PLA-044xTOM-0002","PLA-044","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,10,1,99.54,5.49,45.56,66.42,105.79,NA
"PLB-048xTOM-0002","PLB-048","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,15,4,90.82,5.21,40.36,75.52,111.81,NA
"PLB-029xTOM-0002","PLB-029","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,4,9,107.39,5.84,37.84,92.99,110.69,NA
"PLB-019xTOM-0002","PLB-019","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,3,2,101.88,4.58,39.71,79.55,104.1,NA
"PLB-022xTOM-0002","PLB-022","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,2,15,93.97,6.05,47.69,67.07,117.24,NA
"PLB-008xTOM-0002","PLB-008","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,8,14,112.24,6.06,51.66,78.48,113.24,NA
"PLB-052xTOM-0002","PLB-052","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,11,13,104.24,5.71,50.33,89.31,117.58,NA
"PLB-033xTOM-0002","PLB-033","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,1,3,113.82,5.19,45.62,76.72,113.09,NA
"PLB-030xTOM-0002","PLB-030","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,1,13,117.36,6.04,49.85,84.72,110.15,NA
"PLB-024xTOM-0002","PLB-024","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,4,11,106.32,5.89,44.95,83.18,114.41,NA
"PLB-047xTOM-0002","PLB-047","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,2,9,94.07,6,53.79,80.67,114.78,NA
"PLB-045xTOM-0002","PLB-045","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,8,13,104.38,6.01,46.63,84.01,119.42,NA
"PLB-026xTOM-0002","PLB-026","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,1,4,98.24,5.49,61.17,78.73,116.32,NA
"PLB-036xTOM-0002","PLB-036","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,4,7,102.91,5.47,31.78,69.72,121.74,NA
"PLB-053xTOM-0002","PLB-053","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,13,6,110.57,5.69,48.87,67.18,115.65,NA
"PLB-049xTOM-0002","PLB-049","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,2,2,84.57,5.32,34.42,81.02,108.86,NA
"PLB-025xTOM-0002","PLB-025","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,11,9,93.22,6.27,44.7,78.76,115.64,NA
"PLB-032xTOM-0002","PLB-032","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,14,1,76.92,5.23,44.3,67.73,107.89,NA
"PLB-027xTOM-0002","PLB-027","TOM-0002","CA-2024-L1","CA-2024-L1-B2",2,7,9,88.05,5.82,40.36,84.65,111.78,NA
